Angle [°] ; Isc [A] ;  Temperature DUT [°C]
0.000000 ; 0.001111 ; 24.008577
5.000000 ; 0.001108 ; 23.991002
10.000000 ; 0.001109 ; 23.989912
15.000000 ; 0.001107 ; 23.993403
20.000000 ; 0.001109 ; 23.988097
25.000000 ; 0.001105 ; 23.981551
30.000000 ; 0.001107 ; 23.968574
35.000000 ; 0.001100 ; 23.964444
40.000000 ; 0.001094 ; 23.971727
45.000000 ; 0.001087 ; 23.949769
50.000000 ; 0.001075 ; 23.938476
55.000000 ; 0.001057 ; 23.941049
60.000000 ; 0.001029 ; 23.927103
65.000000 ; 0.000990 ; 23.922192
70.000000 ; 0.000925 ; 23.916722
75.000000 ; 0.000822 ; 23.918087
80.000000 ; 0.000667 ; 23.907498
