PASAN Tester - Labo + TC 1.00, STC Performance
to 13 august 2020,11:12
Operator,Manufacturer,Module type,Serial number,Module ID code
NRIE,Sergiu,Mono 156,,Albarino T
Cell area (cm²),Module area (cm²),Cells in parallel,Cells in series
243.40,243.4,1,1
Reference cell,Calibration value (mV/kW/m²),Current range,Voltage range,Ref cell temp (°C)
MPT 1434-4,104.2,10.0,10.0,24.9
Filter name,Attenuation (%)
None,100.0
Mean irradiance (kW/m²),Cell efficiency (%),Module efficiency (%),Fill factor (%)
1.004,15.2,15.2,69.4
Pmax,Module temperature (°C)
3.692,35.1
Module voltage
Voc,Vmp,Series resistance
0.619,0.476,0.0127
Module current
Isc,Imp,Shunt resistance
8.600,7.877,9.9
Observations

Number of samples,Total time[us]
100,4000.0
Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.581,1.987,0.997,0.584,2.081,1.1950
40.0,0.586,1.997,1.012,0.590,1.966,1.1413
80.0,0.381,7.910,1.019,0.385,8.026,3.0378
120.0,-0.342,10.000,1.020,-0.341,10.180,-3.4189
160.0,-0.317,8.799,1.019,-0.317,8.946,-2.7893
200.0,-0.308,8.525,1.016,-0.307,8.687,-2.6275
240.0,-0.283,8.447,1.015,-0.283,8.615,-2.3985
280.0,-0.254,8.428,1.013,-0.254,8.611,-2.1498
320.0,-0.220,8.408,1.012,-0.220,8.599,-1.8572
360.0,-0.176,8.413,1.012,-0.175,8.604,-1.4844
400.0,-0.137,8.398,1.011,-0.136,8.597,-1.1521
440.0,-0.103,8.394,1.010,-0.102,8.600,-0.8629
480.0,-0.063,8.374,1.009,-0.063,8.588,-0.5309
520.0,-0.024,8.379,1.008,-0.024,8.602,-0.2004
560.0,0.015,8.359,1.007,0.015,8.590,0.1307
600.0,0.049,8.359,1.006,0.050,8.598,0.4205
640.0,0.078,8.345,1.005,0.079,8.591,0.6681
680.0,0.122,8.345,1.005,0.123,8.591,1.0413
720.0,0.166,8.330,1.004,0.167,8.585,1.4126
760.0,0.200,8.340,1.004,0.202,8.595,1.7046
800.0,0.249,8.306,1.004,0.251,8.559,2.1108
840.0,0.269,8.325,1.004,0.270,8.580,2.2815
880.0,0.303,8.306,1.004,0.305,8.559,2.5653
920.0,0.337,8.296,1.004,0.339,8.549,2.8512
960.0,0.361,8.262,1.004,0.364,8.514,3.0449
1000.0,0.391,8.218,1.004,0.393,8.468,3.2739
1040.0,0.410,8.169,1.004,0.413,8.418,3.4169
1080.0,0.425,8.091,1.004,0.427,8.337,3.5048
1120.0,0.439,8.027,1.004,0.442,8.271,3.5970
1160.0,0.449,7.925,1.004,0.452,8.165,3.6297
1200.0,0.459,7.842,1.004,0.462,8.079,3.6695
1240.0,0.464,7.734,1.004,0.467,7.968,3.6575
1280.0,0.474,7.646,1.004,0.476,7.877,3.6918
1320.0,0.479,7.529,1.003,0.481,7.765,3.6756
1360.0,0.483,7.437,1.004,0.486,7.660,3.6640
1400.0,0.483,7.314,1.004,0.486,7.534,3.6036
1440.0,0.488,7.217,1.004,0.491,7.433,3.5911
1480.0,0.493,7.090,1.004,0.496,7.301,3.5629
1520.0,0.498,6.992,1.004,0.501,7.200,3.5484
1560.0,0.503,6.870,1.004,0.506,7.074,3.5203
1600.0,0.503,6.763,1.004,0.506,6.963,3.4650
1640.0,0.513,6.626,1.004,0.516,6.822,3.4604
1680.0,0.513,6.523,1.003,0.516,6.724,3.4102
1720.0,0.518,6.392,1.004,0.521,6.579,3.3692
1760.0,0.518,6.289,1.004,0.521,6.473,3.3149
1800.0,0.518,6.157,1.004,0.521,6.337,3.2450
1840.0,0.522,6.050,1.004,0.525,6.225,3.2181
1880.0,0.527,5.923,1.004,0.530,6.094,3.1797
1920.0,0.532,5.820,1.004,0.535,5.988,3.1532
1960.0,0.527,5.684,1.004,0.530,5.847,3.0505
2000.0,0.537,5.576,1.004,0.540,5.735,3.0479
2040.0,0.537,5.449,1.004,0.540,5.604,2.9781
2080.0,0.537,5.342,1.004,0.540,5.493,2.9190
2120.0,0.542,5.205,1.004,0.545,5.351,2.8697
2160.0,0.547,5.098,1.004,0.550,5.240,2.8354
2200.0,0.547,4.966,1.004,0.550,5.104,2.7616
2240.0,0.547,4.858,1.004,0.550,4.993,2.7015
2280.0,0.547,4.722,1.004,0.550,4.851,2.6249
2320.0,0.552,4.614,1.004,0.555,4.740,2.5877
2360.0,0.552,4.482,1.004,0.555,4.604,2.5132
2400.0,0.552,4.370,1.004,0.555,4.488,2.4498
2440.0,0.557,4.233,1.004,0.560,4.346,2.3936
2480.0,0.557,4.126,1.004,0.560,4.235,2.3324
2520.0,0.562,3.994,1.004,0.565,4.099,2.2770
2560.0,0.562,3.882,1.004,0.565,3.982,2.2125
2600.0,0.566,3.745,1.004,0.570,3.841,2.1524
2640.0,0.566,3.633,1.004,0.570,3.725,2.0873
2680.0,0.566,3.501,1.004,0.570,3.588,2.0109
2720.0,0.571,3.389,1.004,0.575,3.472,1.9625
2760.0,0.571,3.252,1.004,0.575,3.331,1.8826
2800.0,0.571,3.140,1.004,0.575,3.215,1.8169
2840.0,0.576,3.003,1.004,0.579,3.073,1.7518
2880.0,0.576,2.896,1.004,0.579,2.962,1.6884
2920.0,0.576,2.759,1.004,0.579,2.821,1.6078
2960.0,0.581,2.646,1.004,0.584,2.704,1.5546
3000.0,0.581,2.510,1.004,0.584,2.563,1.4733
3040.0,0.586,2.397,1.004,0.589,2.447,1.4183
3080.0,0.586,2.256,1.004,0.589,2.300,1.3334
3120.0,0.586,2.148,1.004,0.589,2.189,1.2690
3160.0,0.591,2.002,1.004,0.594,2.038,1.1910
3200.0,0.591,1.904,1.004,0.594,1.937,1.1319
3240.0,0.596,1.763,1.004,0.599,1.790,1.0549
3280.0,0.591,1.655,1.004,0.594,1.679,0.9813
3320.0,0.596,1.514,1.004,0.599,1.532,0.9031
3360.0,0.596,1.401,1.004,0.599,1.416,0.8346
3400.0,0.601,1.250,1.004,0.604,1.260,0.7484
3440.0,0.601,1.133,1.004,0.604,1.138,0.6764
3480.0,0.605,0.991,1.004,0.609,0.992,0.5941
3520.0,0.605,0.879,1.004,0.609,0.876,0.5245
3560.0,0.605,0.737,1.004,0.609,0.729,0.4368
3600.0,0.605,0.630,1.004,0.609,0.618,0.3702
3640.0,0.610,0.493,1.004,0.614,0.477,0.2878
3680.0,0.610,0.376,1.004,0.614,0.355,0.2145
3720.0,0.610,0.234,1.004,0.614,0.209,0.1261
3760.0,0.615,0.127,1.004,0.619,0.098,0.0594
3800.0,0.615,-0.010,1.004,0.619,-0.044,-0.0266
3840.0,0.615,-0.127,1.004,0.619,-0.165,-0.1004
3880.0,0.615,-0.269,1.004,0.619,-0.312,-0.1896
3920.0,0.620,-0.376,1.004,0.624,-0.423,-0.2593
3960.0,0.620,-0.522,1.004,0.624,-0.574,-0.3523
