PASAN Tester - Labo + TC 1.00, STC Performance
to 13 august 2020,12:20
Operator,Manufacturer,Module type,Serial number,Module ID code
NRIE,Sergiu,Mono 156,,Albarino T
Cell area (cm²),Module area (cm²),Cells in parallel,Cells in series
243.40,243.4,1,1
Reference cell,Calibration value (mV/kW/m²),Current range,Voltage range,Ref cell temp (°C)
MPT 1434-4,104.2,10.0,10.0,28.0
Filter name,Attenuation (%)
None,100.0
Mean irradiance (kW/m²),Cell efficiency (%),Module efficiency (%),Fill factor (%)
1.004,13.9,13.9,66.8
Pmax,Module temperature (°C)
3.382,49.9
Module voltage
Voc,Vmp,Series resistance
0.588,0.432,0.0131
Module current
Isc,Imp,Shunt resistance
8.615,7.956,14.6
Observations

Number of samples,Total time[us]
100,4000.0
Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.557,1.855,1.000,0.559,1.920,1.0564
40.0,0.557,1.860,1.015,0.561,1.800,0.9932
80.0,0.352,7.749,1.021,0.356,7.843,2.7435
120.0,0.322,10.000,1.021,0.326,10.172,3.2635
160.0,-0.034,8.579,1.020,-0.032,8.710,-0.2757
200.0,-0.225,8.467,1.017,-0.224,8.618,-1.8979
240.0,-0.244,8.442,1.015,-0.244,8.609,-2.0641
280.0,-0.229,8.442,1.013,-0.229,8.626,-1.9449
320.0,-0.195,8.423,1.012,-0.195,8.614,-1.6521
360.0,-0.146,8.428,1.011,-0.146,8.627,-1.2391
400.0,-0.112,8.413,1.011,-0.112,8.612,-0.9459
440.0,-0.078,8.413,1.010,-0.077,8.620,-0.6565
480.0,-0.044,8.389,1.009,-0.043,8.603,-0.3654
520.0,0.000,8.394,1.008,0.001,8.617,0.0075
560.0,0.034,8.374,1.007,0.035,8.605,0.2973
600.0,0.068,8.379,1.006,0.069,8.618,0.5880
640.0,0.107,8.359,1.005,0.109,8.606,0.9187
680.0,0.142,8.364,1.005,0.143,8.612,1.2102
720.0,0.181,8.345,1.005,0.182,8.591,1.5391
760.0,0.220,8.350,1.004,0.221,8.605,1.8729
800.0,0.249,8.330,1.004,0.251,8.585,2.1172
