PASAN Tester - Labo + TC 1.00, STC Performance
to 13 august 2020,11:25
Operator,Manufacturer,Module type,Serial number,Module ID code
NRIE,Sergiu,Mono 156,,Albarino T
Cell area (cm²),Module area (cm²),Cells in parallel,Cells in series
243.40,243.4,1,1
Reference cell,Calibration value (mV/kW/m²),Current range,Voltage range,Ref cell temp (°C)
MPT 1434-4,104.2,10.0,10.0,25.4
Filter name,Attenuation (%)
None,100.0
Mean irradiance (kW/m²),Cell efficiency (%),Module efficiency (%),Fill factor (%)
1.004,14.8,14.8,68.7
Pmax,Module temperature (°C)
3.596,40.0
Module voltage
Voc,Vmp,Series resistance
0.609,0.462,0.0128
Module current
Isc,Imp,Shunt resistance
8.603,7.918,14.7
Observations

Number of samples,Total time[us]
100,4000.0
Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.571,1.968,0.974,0.571,2.270,1.2756
40.0,0.576,1.978,1.005,0.580,2.004,1.1425
80.0,0.371,7.935,1.018,0.375,8.060,2.9719
120.0,-0.156,10.000,1.021,-0.155,10.172,-1.5490
160.0,-0.249,8.813,1.020,-0.248,8.953,-2.1853
200.0,-0.293,8.545,1.018,-0.293,8.691,-2.5009
240.0,-0.283,8.462,1.015,-0.283,8.630,-2.4026
280.0,-0.259,8.442,1.014,-0.259,8.618,-2.1921
320.0,-0.220,8.418,1.013,-0.219,8.601,-1.8566
360.0,-0.186,8.418,1.012,-0.185,8.609,-1.5683
400.0,-0.151,8.398,1.010,-0.151,8.605,-1.2787
440.0,-0.112,8.408,1.010,-0.112,8.615,-0.9475
480.0,-0.068,8.379,1.010,-0.068,8.585,-0.5712
520.0,-0.044,8.389,1.009,-0.043,8.603,-0.3656
560.0,-0.005,8.374,1.008,-0.004,8.597,-0.0342
600.0,0.034,8.374,1.007,0.035,8.605,0.2971
640.0,0.068,8.350,1.006,0.069,8.588,0.5858
680.0,0.107,8.354,1.005,0.108,8.601,0.9180
720.0,0.142,8.335,1.004,0.143,8.590,1.2061
760.0,0.176,8.345,1.004,0.177,8.600,1.4981
800.0,0.215,8.330,1.004,0.216,8.585,1.8270
840.0,0.254,8.330,1.004,0.256,8.585,2.1585
880.0,0.283,8.315,1.004,0.285,8.569,2.4029
920.0,0.317,8.306,1.004,0.319,8.559,2.6893
960.0,0.342,8.276,1.004,0.344,8.529,2.8856
1000.0,0.371,8.237,1.004,0.373,8.489,3.1178
1040.0,0.386,8.193,1.004,0.388,8.443,3.2234
1080.0,0.405,8.125,1.004,0.408,8.372,3.3580
1120.0,0.420,8.062,1.004,0.422,8.307,3.4520
1160.0,0.430,7.959,1.004,0.432,8.201,3.4871
1200.0,0.439,7.881,1.004,0.442,8.120,3.5311
1240.0,0.449,7.778,1.004,0.452,8.014,3.5623
1280.0,0.459,7.686,1.004,0.462,7.918,3.5961
1320.0,0.464,7.568,1.004,0.467,7.797,3.5787
1360.0,0.469,7.471,1.004,0.472,7.695,3.5695
1400.0,0.474,7.349,1.004,0.476,7.569,3.5474
1440.0,0.479,7.251,1.004,0.481,7.468,3.5361
1480.0,0.483,7.119,1.004,0.486,7.332,3.5069
1520.0,0.483,7.021,1.004,0.486,7.231,3.4586
1560.0,0.493,6.895,1.004,0.496,7.099,3.4643
1600.0,0.493,6.792,1.004,0.496,6.993,3.4126
1640.0,0.498,6.650,1.004,0.501,6.847,3.3741
1680.0,0.498,6.543,1.004,0.501,6.736,3.3193
1720.0,0.503,6.411,1.004,0.506,6.599,3.2840
1760.0,0.508,6.304,1.004,0.511,6.488,3.2600
1800.0,0.508,6.172,1.004,0.511,6.352,3.1915
1840.0,0.513,6.064,1.004,0.516,6.241,3.1657
1880.0,0.518,5.928,1.004,0.521,6.099,3.1234
1920.0,0.518,5.825,1.004,0.521,5.993,3.0691
1960.0,0.522,5.688,1.004,0.526,5.852,3.0249
2000.0,0.522,5.581,1.004,0.526,5.740,2.9675
2040.0,0.527,5.444,1.004,0.530,5.599,2.9214
2080.0,0.527,5.337,1.004,0.530,5.488,2.8634
2120.0,0.532,5.205,1.004,0.535,5.351,2.8180
2160.0,0.537,5.098,1.004,0.540,5.240,2.7848
2200.0,0.532,4.961,1.004,0.535,5.099,2.6850
2240.0,0.537,4.854,1.004,0.540,4.988,2.6506
2280.0,0.542,4.717,1.004,0.545,4.846,2.5988
2320.0,0.542,4.609,1.004,0.545,4.735,2.5392
2360.0,0.542,4.473,1.004,0.545,4.594,2.4634
2400.0,0.547,4.365,1.004,0.550,4.483,2.4254
2440.0,0.547,4.224,1.004,0.550,4.336,2.3461
2480.0,0.552,4.116,1.004,0.555,4.225,2.3064
2520.0,0.552,3.984,1.004,0.555,4.089,2.2319
2560.0,0.552,3.872,1.004,0.555,3.972,2.1685
2600.0,0.557,3.735,1.004,0.560,3.831,2.1098
2640.0,0.557,3.623,1.004,0.560,3.715,2.0458
2680.0,0.562,3.486,1.004,0.565,3.573,1.9851
2720.0,0.562,3.374,1.004,0.565,3.457,1.9206
2760.0,0.562,3.237,1.004,0.565,3.316,1.8420
2800.0,0.566,3.125,1.004,0.570,3.199,1.7929
2840.0,0.566,2.988,1.004,0.570,3.058,1.7136
2880.0,0.566,2.876,1.004,0.570,2.942,1.6485
2920.0,0.571,2.734,1.004,0.575,2.795,1.5799
2960.0,0.571,2.627,1.004,0.575,2.684,1.5171
3000.0,0.571,2.490,1.004,0.575,2.543,1.4372
3040.0,0.576,2.378,1.004,0.579,2.427,1.3832
3080.0,0.576,2.236,1.004,0.579,2.280,1.2997
3120.0,0.576,2.124,1.004,0.579,2.164,1.2335
3160.0,0.581,1.978,1.004,0.584,2.012,1.1568
3200.0,0.581,1.880,1.004,0.584,1.911,1.0987
3240.0,0.586,1.738,1.004,0.589,1.765,1.0230
3280.0,0.586,1.631,1.004,0.589,1.654,0.9586
3320.0,0.586,1.489,1.004,0.589,1.507,0.8736
3360.0,0.586,1.372,1.004,0.589,1.386,0.8034
3400.0,0.591,1.221,1.004,0.594,1.229,0.7185
3440.0,0.591,1.104,1.004,0.594,1.108,0.6476
3480.0,0.591,0.967,1.004,0.594,0.967,0.5650
3520.0,0.596,0.854,1.004,0.599,0.850,0.5012
3560.0,0.596,0.713,1.004,0.599,0.704,0.4148
3600.0,0.596,0.601,1.004,0.599,0.588,0.3463
3640.0,0.601,0.464,1.004,0.604,0.446,0.2651
3680.0,0.601,0.352,1.004,0.604,0.330,0.1961
3720.0,0.605,0.210,1.004,0.609,0.184,0.1099
3760.0,0.605,0.098,1.004,0.609,0.067,0.0403
3800.0,0.605,-0.039,1.004,0.609,-0.074,-0.0444
3840.0,0.605,-0.156,1.004,0.609,-0.195,-0.1170
3880.0,0.605,-0.298,1.004,0.609,-0.342,-0.2048
3920.0,0.610,-0.410,1.004,0.614,-0.458,-0.2766
3960.0,0.610,-0.552,1.004,0.614,-0.605,-0.3650
