PASAN Tester - Labo + TC 1.00, STC Performance
to 13 august 2020,11:01
Operator,Manufacturer,Module type,Serial number,Module ID code
NRIE,Sergiu,Mono 156,,Albarino T
Cell area (cm²),Module area (cm²),Cells in parallel,Cells in series
243.40,243.4,1,1
Reference cell,Calibration value (mV/kW/m²),Current range,Voltage range,Ref cell temp (°C)
MPT 1434-4,104.2,10.0,10.0,24.7
Filter name,Attenuation (%)
None,100.0
Mean irradiance (kW/m²),Cell efficiency (%),Module efficiency (%),Fill factor (%)
1.004,15.4,15.4,69.9
Pmax,Module temperature (°C)
3.758,30.1
Module voltage
Voc,Vmp,Series resistance
0.626,0.476,0.0115
Module current
Isc,Imp,Shunt resistance
8.596,8.019,9.7
Observations

Number of samples,Total time[us]
100,4000.0
Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.591,1.968,0.979,0.592,2.217,1.2906
40.0,0.591,1.978,1.005,0.594,2.004,1.1714
80.0,0.396,7.827,1.018,0.399,7.948,3.1209
120.0,-0.313,10.000,1.021,-0.312,10.172,-3.1232
160.0,-0.273,8.784,1.021,-0.273,8.914,-2.3927
200.0,-0.269,8.525,1.018,-0.268,8.671,-2.2879
240.0,-0.244,8.447,1.016,-0.244,8.606,-2.0647
280.0,-0.205,8.418,1.014,-0.205,8.593,-1.7311
320.0,-0.171,8.398,1.012,-0.171,8.589,-1.4417
360.0,-0.142,8.398,1.011,-0.141,8.597,-1.1948
400.0,-0.103,8.389,1.011,-0.102,8.587,-0.8618
440.0,-0.059,8.389,1.010,-0.058,8.595,-0.4900
480.0,-0.034,8.369,1.009,-0.034,8.583,-0.2829
520.0,0.000,8.379,1.008,0.001,8.602,0.0063
560.0,0.039,8.354,1.007,0.040,8.585,0.3371
600.0,0.078,8.354,1.006,0.079,8.593,0.6684
640.0,0.127,8.330,1.006,0.128,8.568,1.0801
680.0,0.156,8.340,1.005,0.157,8.586,1.3303
720.0,0.181,8.325,1.004,0.182,8.580,1.5355
760.0,0.225,8.325,1.004,0.226,8.580,1.9083
800.0,0.259,8.311,1.004,0.260,8.564,2.1943
840.0,0.303,8.315,1.004,0.305,8.569,2.5679
880.0,0.327,8.286,1.004,0.329,8.539,2.7649
920.0,0.361,8.281,1.004,0.364,8.534,3.0517
960.0,0.386,8.242,1.004,0.388,8.494,3.2422
