Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.596,1.982,0.999,0.599,2.059,1.2127
40.0,0.601,1.987,1.012,0.605,1.956,1.1638
80.0,0.396,7.832,1.018,0.399,7.954,3.1244
120.0,-0.630,10.000,1.019,-0.631,10.189,-6.3252
160.0,-0.376,8.755,1.018,-0.376,8.909,-3.2952
200.0,-0.308,8.506,1.016,-0.308,8.667,-2.6219
240.0,-0.264,8.423,1.014,-0.264,8.598,-2.2290
280.0,-0.229,8.413,1.013,-0.229,8.596,-1.9390
320.0,-0.205,8.394,1.012,-0.205,8.584,-1.7299
360.0,-0.161,8.398,1.011,-0.161,8.597,-1.3600
400.0,-0.127,8.379,1.010,-0.127,8.585,-1.0688
440.0,-0.088,8.379,1.009,-0.087,8.594,-0.7389
480.0,-0.054,8.364,1.009,-0.053,8.578,-0.4477
520.0,-0.020,8.364,1.008,-0.019,8.587,-0.1588
560.0,0.020,8.345,1.007,0.020,8.575,0.1717
600.0,0.054,8.350,1.006,0.055,8.588,0.4613
640.0,0.088,8.330,1.005,0.089,8.576,0.7496
680.0,0.132,8.335,1.005,0.133,8.581,1.1228
720.0,0.166,8.315,1.004,0.167,8.570,1.4100
760.0,0.205,8.325,1.004,0.207,8.580,1.7430
800.0,0.239,8.311,1.004,0.241,8.564,2.0293
840.0,0.288,8.311,1.004,0.290,8.564,2.4427
880.0,0.317,8.291,1.004,0.319,8.544,2.6844
920.0,0.352,8.281,1.004,0.354,8.534,2.9696
960.0,0.381,8.252,1.004,0.383,8.504,3.2054
1000.0,0.405,8.218,1.004,0.408,8.468,3.3964
1040.0,0.425,8.174,1.004,0.427,8.423,3.5409
1080.0,0.444,8.096,1.004,0.447,8.342,3.6680
1120.0,0.454,8.032,1.004,0.457,8.277,3.7190
1160.0,0.469,7.930,1.004,0.472,8.170,3.7896
1200.0,0.474,7.847,1.004,0.476,8.085,3.7888
1240.0,0.483,7.734,1.004,0.486,7.968,3.8113
1280.0,0.488,7.642,1.004,0.491,7.872,3.8034
1320.0,0.493,7.520,1.004,0.496,7.746,3.7798
1360.0,0.503,7.422,1.004,0.506,7.645,3.8043
1400.0,0.508,7.290,1.004,0.511,7.509,3.7727
1440.0,0.513,7.173,1.004,0.516,7.387,3.7474
1480.0,0.513,7.041,1.004,0.516,7.251,3.6782
1520.0,0.518,6.948,1.004,0.521,7.155,3.6641
1560.0,0.522,6.821,1.004,0.525,7.024,3.6307
1600.0,0.522,6.724,1.004,0.525,6.923,3.5785
1640.0,0.527,6.582,1.004,0.530,6.776,3.5355
1680.0,0.532,6.479,1.003,0.535,6.678,3.5160
1720.0,0.532,6.353,1.004,0.535,6.539,3.4431
1760.0,0.537,6.250,1.004,0.540,6.433,3.4183
1800.0,0.537,6.118,1.004,0.540,6.296,3.3458
1840.0,0.547,6.016,1.004,0.550,6.190,3.3492
1880.0,0.542,5.889,1.004,0.545,6.059,3.2489
1920.0,0.547,5.781,1.004,0.550,5.948,3.2180
1960.0,0.552,5.649,1.004,0.555,5.811,3.1723
2000.0,0.552,5.547,1.004,0.555,5.705,3.1144
2040.0,0.552,5.410,1.004,0.555,5.564,3.0372
2080.0,0.557,5.303,1.004,0.560,5.453,3.0028
2120.0,0.557,5.171,1.004,0.560,5.316,2.9277
2160.0,0.562,5.068,1.004,0.565,5.210,2.8944
2200.0,0.562,4.937,1.004,0.565,5.074,2.8187
2240.0,0.566,4.824,1.004,0.570,4.958,2.7780
2280.0,0.566,4.692,1.004,0.570,4.821,2.7016
2320.0,0.566,4.590,1.004,0.570,4.715,2.6422
2360.0,0.571,4.453,1.004,0.575,4.574,2.5850
2400.0,0.571,4.351,1.004,0.575,4.468,2.5250
2440.0,0.576,4.214,1.004,0.579,4.326,2.4659
2480.0,0.576,4.106,1.004,0.579,4.215,2.4026
2520.0,0.576,3.975,1.004,0.579,4.079,2.3248
2560.0,0.581,3.867,1.004,0.584,3.967,2.2806
2600.0,0.581,3.730,1.004,0.584,3.826,2.1993
2640.0,0.586,3.623,1.004,0.589,3.715,2.1534
2680.0,0.586,3.491,1.004,0.589,3.578,2.0743
2720.0,0.586,3.379,1.004,0.589,3.462,2.0070
2760.0,0.591,3.242,1.004,0.594,3.321,1.9410
2800.0,0.591,3.135,1.004,0.594,3.210,1.8760
2840.0,0.591,2.998,1.004,0.594,3.068,1.7934
2880.0,0.591,2.896,1.004,0.594,2.962,1.7313
2920.0,0.596,2.759,1.004,0.599,2.821,1.6623
2960.0,0.596,2.646,1.004,0.599,2.704,1.5938
3000.0,0.596,2.515,1.004,0.599,2.568,1.5134
3040.0,0.601,2.402,1.004,0.604,2.452,1.4568
3080.0,0.601,2.266,1.004,0.604,2.310,1.3727
3120.0,0.605,2.158,1.004,0.609,2.199,1.3173
3160.0,0.605,2.012,1.004,0.609,2.048,1.2265
3200.0,0.605,1.914,1.004,0.609,1.947,1.1660
3240.0,0.605,1.782,1.004,0.609,1.810,1.0843
3280.0,0.610,1.670,1.004,0.614,1.694,1.0229
3320.0,0.610,1.533,1.004,0.614,1.553,0.9375
3360.0,0.615,1.421,1.004,0.619,1.436,0.8743
3400.0,0.615,1.270,1.004,0.619,1.280,0.7790
3440.0,0.615,1.157,1.004,0.619,1.164,0.7082
3480.0,0.615,1.021,1.004,0.619,1.022,0.6222
3520.0,0.620,0.908,1.004,0.624,0.906,0.5558
3560.0,0.620,0.771,1.004,0.624,0.765,0.4690
3600.0,0.620,0.664,1.004,0.624,0.653,0.4009
3640.0,0.625,0.527,1.004,0.629,0.512,0.3166
3680.0,0.625,0.415,1.004,0.629,0.396,0.2447
3720.0,0.630,0.278,1.004,0.633,0.254,0.1585
3760.0,0.625,0.166,1.004,0.629,0.138,0.0854
3800.0,0.630,0.029,1.004,0.633,-0.003,-0.0021
3840.0,0.630,-0.078,1.004,0.633,-0.114,-0.0713
3880.0,0.630,-0.220,1.004,0.633,-0.261,-0.1626
3920.0,0.630,-0.332,1.004,0.633,-0.377,-0.2350
3960.0,0.630,-0.464,1.004,0.633,-0.514,-0.3200
