PASAN Tester - Labo + TC 1.00, STC Performance
to 13 august 2020,11:42
Operator,Manufacturer,Module type,Serial number,Module ID code
NRIE,Sergiu,Mono 156,,Albarino T
Cell area (cm²),Module area (cm²),Cells in parallel,Cells in series
243.40,243.4,1,1
Reference cell,Calibration value (mV/kW/m²),Current range,Voltage range,Ref cell temp (°C)
MPT 1434-4,104.2,10.0,10.0,26.4
Filter name,Attenuation (%)
None,100.0
Mean irradiance (kW/m²),Cell efficiency (%),Module efficiency (%),Fill factor (%)
1.004,14.3,14.3,67.8
Pmax,Module temperature (°C)
3.484,45.0
Module voltage
Voc,Vmp,Series resistance
0.598,0.452,0.0129
Module current
Isc,Imp,Shunt resistance
8.602,7.837,26.9
Observations

Number of samples,Total time[us]
100,4000.0
Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.562,1.895,0.998,0.564,1.977,1.0971
40.0,0.562,1.904,1.014,0.566,1.853,1.0316
80.0,0.366,7.783,1.020,0.370,7.887,2.8719
120.0,0.269,10.000,1.020,0.272,10.180,2.7243
160.0,-0.068,8.667,1.020,-0.067,8.801,-0.5762
200.0,-0.229,8.496,1.017,-0.229,8.649,-1.9467
240.0,-0.254,8.447,1.015,-0.254,8.615,-2.1487
280.0,-0.229,8.438,1.014,-0.229,8.613,-1.9412
320.0,-0.195,8.418,1.012,-0.195,8.609,-1.6513
360.0,-0.151,8.428,1.012,-0.151,8.619,-1.2788
400.0,-0.122,8.408,1.011,-0.121,8.607,-1.0286
440.0,-0.083,8.403,1.010,-0.082,8.610,-0.6974
480.0,-0.049,8.384,1.009,-0.048,8.598,-0.4068
520.0,-0.010,8.389,1.008,-0.009,8.612,-0.0758
560.0,0.020,8.364,1.007,0.020,8.595,0.1724
600.0,0.059,8.369,1.006,0.060,8.608,0.5042
640.0,0.093,8.350,1.005,0.094,8.596,0.7930
680.0,0.132,8.354,1.005,0.133,8.601,1.1257
720.0,0.166,8.335,1.004,0.167,8.590,1.4135
760.0,0.205,8.345,1.004,0.207,8.600,1.7472
800.0,0.234,8.335,1.004,0.236,8.590,1.9940
840.0,0.259,8.330,1.004,0.261,8.585,2.2000
880.0,0.288,8.311,1.004,0.290,8.564,2.4429
920.0,0.322,8.291,1.004,0.324,8.544,2.7258
960.0,0.347,8.262,1.004,0.349,8.514,2.9216
1000.0,0.371,8.208,1.004,0.373,8.458,3.1067
1040.0,0.386,8.159,1.004,0.388,8.408,3.2099
1080.0,0.405,8.071,1.004,0.408,8.317,3.3358
1120.0,0.415,7.998,1.004,0.418,8.241,3.3850
1160.0,0.425,7.891,1.003,0.427,8.138,3.4205
1200.0,0.435,7.808,1.004,0.437,8.044,3.4594
1240.0,0.439,7.700,1.004,0.442,7.933,3.4499
1280.0,0.449,7.607,1.004,0.452,7.837,3.4838
1320.0,0.454,7.485,1.004,0.457,7.711,3.4649
1360.0,0.459,7.388,1.004,0.462,7.610,3.4562
1400.0,0.464,7.271,1.004,0.467,7.488,3.4373
1440.0,0.469,7.173,1.004,0.472,7.387,3.4266
1480.0,0.474,7.046,1.004,0.476,7.256,3.4007
1520.0,0.474,6.943,1.004,0.476,7.150,3.3510
1560.0,0.479,6.821,1.004,0.481,7.024,3.3257
1600.0,0.483,6.719,1.004,0.486,6.918,3.3088
1640.0,0.488,6.582,1.004,0.491,6.776,3.2739
1680.0,0.488,6.470,1.004,0.491,6.660,3.2177
1720.0,0.493,6.343,1.004,0.496,6.529,3.1858
1760.0,0.498,6.240,1.004,0.501,6.422,3.1650
1800.0,0.498,6.104,1.004,0.501,6.281,3.0953
1840.0,0.503,6.001,1.004,0.506,6.175,3.0728
1880.0,0.508,5.869,1.004,0.511,6.039,3.0341
1920.0,0.508,5.767,1.004,0.511,5.932,2.9808
1960.0,0.508,5.630,1.004,0.511,5.791,2.9097
2000.0,0.513,5.527,1.004,0.516,5.685,2.8839
2040.0,0.513,5.396,1.004,0.516,5.548,2.8147
2080.0,0.518,5.288,1.004,0.521,5.437,2.7846
2120.0,0.518,5.151,1.004,0.521,5.296,2.7121
2160.0,0.522,5.044,1.004,0.526,5.185,2.6802
2200.0,0.522,4.907,1.004,0.526,5.043,2.6071
2240.0,0.527,4.800,1.004,0.530,4.932,2.5735
2280.0,0.532,4.663,1.004,0.535,4.791,2.5228
2320.0,0.532,4.556,1.004,0.535,4.680,2.4643
2360.0,0.532,4.419,1.004,0.535,4.538,2.3898
2400.0,0.537,4.312,1.004,0.540,4.427,2.3526
2440.0,0.537,4.175,1.004,0.540,4.286,2.2775
2480.0,0.537,4.067,1.004,0.540,4.174,2.2184
2520.0,0.537,3.931,1.004,0.540,4.033,2.1432
2560.0,0.542,3.823,1.004,0.545,3.922,2.1031
2600.0,0.542,3.682,1.004,0.545,3.775,2.0245
2640.0,0.542,3.569,1.004,0.545,3.659,1.9622
2680.0,0.547,3.433,1.004,0.550,3.518,1.9034
2720.0,0.552,3.325,1.004,0.555,3.407,1.8597
2760.0,0.552,3.184,1.004,0.555,3.260,1.7797
2800.0,0.552,3.071,1.004,0.555,3.144,1.7163
2840.0,0.552,2.939,1.004,0.555,3.007,1.6418
2880.0,0.557,2.827,1.004,0.560,2.891,1.5923
2920.0,0.562,2.686,1.004,0.565,2.745,1.5249
2960.0,0.562,2.573,1.004,0.565,2.629,1.4603
3000.0,0.562,2.437,1.004,0.565,2.487,1.3818
3040.0,0.566,2.324,1.004,0.570,2.371,1.3286
3080.0,0.566,2.192,1.004,0.570,2.235,1.2522
3120.0,0.566,2.075,1.004,0.570,2.113,1.1843
3160.0,0.566,1.929,1.004,0.570,1.962,1.0993
3200.0,0.571,1.831,1.004,0.575,1.861,1.0517
3240.0,0.571,1.689,1.004,0.575,1.714,0.9689
3280.0,0.571,1.577,1.004,0.575,1.598,0.9032
3320.0,0.576,1.440,1.004,0.579,1.457,0.8303
3360.0,0.576,1.328,1.004,0.579,1.340,0.7641
3400.0,0.576,1.177,1.004,0.579,1.184,0.6748
3440.0,0.581,1.064,1.004,0.584,1.068,0.6137
3480.0,0.581,0.918,1.004,0.584,0.916,0.5266
3520.0,0.586,0.811,1.004,0.589,0.805,0.4666
3560.0,0.586,0.669,1.004,0.589,0.658,0.3817
3600.0,0.586,0.557,1.004,0.589,0.542,0.3143
3640.0,0.591,0.420,1.004,0.594,0.401,0.2343
3680.0,0.591,0.308,1.004,0.594,0.285,0.1663
3720.0,0.591,0.166,1.004,0.594,0.138,0.0807
3760.0,0.596,0.059,1.004,0.599,0.027,0.0159
3800.0,0.596,-0.083,1.004,0.599,-0.120,-0.0705
3840.0,0.596,-0.200,1.004,0.599,-0.241,-0.1419
3880.0,0.601,-0.337,1.004,0.604,-0.382,-0.2271
3920.0,0.601,-0.449,1.004,0.604,-0.498,-0.2962
3960.0,0.601,-0.586,1.004,0.604,-0.640,-0.3802
