PASAN Tester - Labo + TC 1.00, STC Performance
to 13 august 2020,12:50
Operator,Manufacturer,Module type,Serial number,Module ID code
NRIE,Sergiu,Mono 156,,Albarino T
Cell area (cm²),Module area (cm²),Cells in parallel,Cells in series
243.40,243.4,1,1
Reference cell,Calibration value (mV/kW/m²),Current range,Voltage range,Ref cell temp (°C)
MPT 1434-4,104.2,10.0,10.0,29.1
Filter name,Attenuation (%)
None,100.0
Mean irradiance (kW/m²),Cell efficiency (%),Module efficiency (%),Fill factor (%)
1.004,13.6,13.6,66.3
Pmax,Module temperature (°C)
3.301,55.0
Module voltage
Voc,Vmp,Series resistance
0.577,0.437,0.0137
Module current
Isc,Imp,Shunt resistance
8.627,7.675,8.8
Observations

Number of samples,Total time[us]
100,4000.0
Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.542,1.807,0.998,0.544,1.886,1.0102
40.0,0.547,1.812,1.013,0.551,1.765,0.9570
80.0,0.352,7.632,1.019,0.355,7.738,2.7057
120.0,0.361,10.000,1.020,0.365,10.179,3.6590
160.0,-0.020,8.296,1.020,-0.017,8.416,-0.1437
200.0,-0.220,8.398,1.017,-0.219,8.547,-1.8404
240.0,-0.220,8.438,1.015,-0.219,8.604,-1.8545
280.0,-0.195,8.452,1.013,-0.195,8.636,-1.6548
320.0,-0.166,8.433,1.012,-0.165,8.624,-1.4037
360.0,-0.132,8.438,1.011,-0.131,8.637,-1.1150
400.0,-0.093,8.423,1.011,-0.092,8.622,-0.7801
440.0,-0.054,8.428,1.010,-0.053,8.635,-0.4488
480.0,-0.024,8.408,1.009,-0.024,8.623,-0.1994
520.0,0.015,8.403,1.008,0.016,8.627,0.1327
560.0,0.049,8.379,1.007,0.050,8.610,0.4224
600.0,0.088,8.389,1.006,0.089,8.628,0.7556
640.0,0.122,8.364,1.005,0.123,8.611,1.0441
680.0,0.161,8.369,1.005,0.163,8.616,1.3775
720.0,0.200,8.350,1.005,0.202,8.596,1.7062
760.0,0.239,8.345,1.004,0.241,8.600,2.0380
800.0,0.264,8.325,1.004,0.265,8.579,2.2403
840.0,0.298,8.315,1.004,0.300,8.569,2.5272
880.0,0.322,8.267,1.004,0.324,8.519,2.7179
920.0,0.347,8.223,1.004,0.349,8.473,2.9079
960.0,0.361,8.179,1.004,0.364,8.428,3.0144
1000.0,0.376,8.096,1.004,0.378,8.342,3.1045
1040.0,0.391,8.027,1.004,0.393,8.271,3.1979
1080.0,0.396,7.944,1.004,0.398,8.185,3.2043
1120.0,0.405,7.876,1.004,0.408,8.115,3.2549
1160.0,0.410,7.754,1.004,0.413,7.988,3.2428
1200.0,0.420,7.661,1.003,0.422,7.901,3.2827
1240.0,0.425,7.549,1.004,0.427,7.776,3.2693
1280.0,0.435,7.451,1.004,0.437,7.675,3.3009
1320.0,0.435,7.334,1.004,0.437,7.554,3.2488
1360.0,0.439,7.241,1.004,0.442,7.458,3.2435
1400.0,0.444,7.119,1.004,0.447,7.332,3.2240
1440.0,0.449,7.017,1.004,0.452,7.226,3.2122
1480.0,0.454,6.890,1.004,0.457,7.094,3.1880
1520.0,0.459,6.797,1.004,0.462,6.998,3.1787
1560.0,0.459,6.670,1.004,0.462,6.867,3.1190
1600.0,0.464,6.572,1.004,0.467,6.766,3.1058
1640.0,0.469,6.436,1.004,0.472,6.624,3.0729
1680.0,0.469,6.328,1.004,0.472,6.513,3.0213
1720.0,0.474,6.196,1.004,0.476,6.377,2.9888
1760.0,0.479,6.094,1.004,0.481,6.271,2.9694
1800.0,0.479,5.962,1.004,0.481,6.134,2.9048
1840.0,0.483,5.859,1.004,0.486,6.028,2.8836
1880.0,0.483,5.732,1.004,0.486,5.897,2.8208
1920.0,0.488,5.630,1.004,0.491,5.791,2.7980
1960.0,0.488,5.493,1.004,0.491,5.649,2.7297
2000.0,0.493,5.396,1.004,0.496,5.548,2.7076
2040.0,0.493,5.259,1.004,0.496,5.407,2.6386
2080.0,0.498,5.151,1.004,0.501,5.296,2.6099
2120.0,0.498,5.020,1.004,0.501,5.159,2.5427
2160.0,0.498,4.912,1.004,0.501,5.048,2.4879
2200.0,0.503,4.780,1.004,0.506,4.912,2.4444
2240.0,0.508,4.673,1.004,0.511,4.801,2.4123
2280.0,0.508,4.541,1.004,0.511,4.664,2.3438
2320.0,0.513,4.434,1.004,0.516,4.553,2.3099
2360.0,0.513,4.302,1.004,0.516,4.417,2.2407
2400.0,0.513,4.194,1.004,0.516,4.306,2.1843
2440.0,0.513,4.063,1.004,0.516,4.169,2.1151
2480.0,0.518,3.950,1.004,0.521,4.053,2.0757
2520.0,0.522,3.818,1.004,0.526,3.917,2.0248
2560.0,0.522,3.711,1.004,0.526,3.806,1.9673
2600.0,0.522,3.574,1.004,0.526,3.664,1.8942
2640.0,0.522,3.467,1.004,0.526,3.553,1.8368
2680.0,0.527,3.330,1.004,0.530,3.411,1.7801
2720.0,0.527,3.223,1.004,0.530,3.300,1.7221
2760.0,0.527,3.086,1.004,0.530,3.159,1.6483
2800.0,0.532,2.979,1.004,0.535,3.048,1.6050
2840.0,0.532,2.842,1.004,0.535,2.906,1.5305
2880.0,0.537,2.729,1.004,0.540,2.790,1.4828
2920.0,0.537,2.593,1.004,0.540,2.649,1.4076
2960.0,0.537,2.485,1.004,0.540,2.538,1.3486
3000.0,0.542,2.349,1.004,0.545,2.396,1.2850
3040.0,0.542,2.241,1.004,0.545,2.285,1.2254
3080.0,0.547,2.100,1.004,0.550,2.138,1.1571
3120.0,0.547,1.992,1.004,0.550,2.027,1.0970
3160.0,0.547,1.846,1.004,0.550,1.876,1.0150
3200.0,0.552,1.748,1.004,0.555,1.775,0.9689
3240.0,0.552,1.611,1.004,0.555,1.633,0.8916
3280.0,0.552,1.504,1.004,0.555,1.522,0.8310
3320.0,0.557,1.362,1.004,0.560,1.376,0.7576
3360.0,0.557,1.250,1.004,0.560,1.259,0.6936
3400.0,0.562,1.099,1.004,0.565,1.103,0.6127
3440.0,0.562,0.986,1.004,0.565,0.987,0.5482
3480.0,0.562,0.850,1.004,0.565,0.845,0.4696
3520.0,0.566,0.737,1.004,0.570,0.729,0.4085
3560.0,0.566,0.601,1.004,0.570,0.588,0.3293
3600.0,0.566,0.488,1.004,0.570,0.471,0.2642
3640.0,0.566,0.352,1.004,0.570,0.330,0.1849
3680.0,0.571,0.239,1.004,0.575,0.214,0.1208
3720.0,0.571,0.103,1.004,0.575,0.072,0.0408
3760.0,0.576,-0.005,1.004,0.580,-0.039,-0.0222
3800.0,0.576,-0.146,1.004,0.580,-0.185,-0.1057
3840.0,0.576,-0.254,1.004,0.580,-0.297,-0.1690
3880.0,0.576,-0.396,1.004,0.580,-0.443,-0.2525
3920.0,0.581,-0.508,1.004,0.584,-0.559,-0.3215
3960.0,0.581,-0.645,1.004,0.584,-0.701,-0.4028
