PASAN Tester - Labo + TC 1.00, STC Performance
to 13 august 2020,12:20
Operator,Manufacturer,Module type,Serial number,Module ID code
NRIE,Sergiu,Mono 156,,Albarino T
Cell area (cm²),Module area (cm²),Cells in parallel,Cells in series
243.40,243.4,1,1
Reference cell,Calibration value (mV/kW/m²),Current range,Voltage range,Ref cell temp (°C)
MPT 1434-4,104.2,10.0,10.0,27.9
Filter name,Attenuation (%)
None,100.0
Mean irradiance (kW/m²),Cell efficiency (%),Module efficiency (%),Fill factor (%)
1.004,14.0,14.0,67.1
Pmax,Module temperature (°C)
3.399,50.0
Module voltage
Voc,Vmp,Series resistance
0.588,0.437,0.0139
Module current
Isc,Imp,Shunt resistance
8.615,7.902,13.4
Observations

Number of samples,Total time[us]
100,4000.0
Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.557,1.709,0.988,0.558,1.871,1.0271
40.0,0.562,1.709,1.008,0.565,1.701,0.9457
80.0,0.361,7.427,1.015,0.365,7.558,2.7129
120.0,0.376,10.000,1.016,0.380,10.212,3.8145
160.0,-0.020,8.242,1.016,-0.018,8.394,-0.1467
200.0,-0.220,8.384,1.015,-0.219,8.548,-1.8423
240.0,-0.220,8.423,1.014,-0.219,8.597,-1.8537
280.0,-0.186,8.442,1.013,-0.185,8.626,-1.5694
320.0,-0.146,8.428,1.012,-0.146,8.619,-1.2363
360.0,-0.112,8.423,1.011,-0.112,8.622,-0.9464
400.0,-0.073,8.403,1.011,-0.072,8.602,-0.6120
440.0,-0.034,8.403,1.010,-0.033,8.610,-0.2811
480.0,0.000,8.389,1.009,0.001,8.603,0.0089
520.0,0.039,8.403,1.008,0.040,8.627,0.3411
560.0,0.063,8.374,1.007,0.065,8.605,0.5469
600.0,0.103,8.379,1.006,0.104,8.618,0.8796
640.0,0.137,8.359,1.006,0.138,8.598,1.1681
680.0,0.176,8.364,1.005,0.177,8.611,1.5015
720.0,0.205,8.345,1.005,0.207,8.591,1.7468
760.0,0.244,8.350,1.005,0.246,8.596,2.0798
800.0,0.264,8.320,1.004,0.265,8.574,2.2391
840.0,0.303,8.311,1.004,0.305,8.564,2.5671
880.0,0.322,8.281,1.004,0.324,8.534,2.7228
920.0,0.352,8.237,1.004,0.354,8.488,2.9542
960.0,0.366,8.193,1.004,0.369,8.443,3.0606
1000.0,0.386,8.110,1.004,0.388,8.357,3.1909
1040.0,0.396,8.042,1.004,0.398,8.286,3.2439
1080.0,0.405,7.944,1.004,0.408,8.185,3.2833
1120.0,0.420,7.866,1.004,0.422,8.105,3.3683
1160.0,0.425,7.759,1.004,0.427,7.993,3.3607
1200.0,0.435,7.671,1.004,0.437,7.902,3.3988
1240.0,0.435,7.559,1.004,0.437,7.786,3.3488
1280.0,0.444,7.471,1.004,0.447,7.695,3.3840
1320.0,0.444,7.344,1.004,0.447,7.564,3.3262
1360.0,0.454,7.246,1.004,0.457,7.463,3.3538
1400.0,0.454,7.129,1.004,0.457,7.342,3.2993
1440.0,0.464,7.031,1.004,0.467,7.241,3.3238
