PASAN Tester - Labo + TC 1.00, STC Performance
to 13 august 2020,11:12
Operator,Manufacturer,Module type,Serial number,Module ID code
NRIE,Sergiu,Mono 156,,Albarino T
Cell area (cm²),Module area (cm²),Cells in parallel,Cells in series
243.40,243.4,1,1
Reference cell,Calibration value (mV/kW/m²),Current range,Voltage range,Ref cell temp (°C)
MPT 1434-4,104.2,10.0,10.0,25.0
Filter name,Attenuation (%)
None,100.0
Mean irradiance (kW/m²),Cell efficiency (%),Module efficiency (%),Fill factor (%)
1.004,15.2,15.2,69.5
Pmax,Module temperature (°C)
3.695,35.0
Module voltage
Voc,Vmp,Series resistance
0.619,0.476,0.0127
Module current
Isc,Imp,Shunt resistance
8.592,7.886,16.9
Observations

Number of samples,Total time[us]
100,4000.0
Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.581,1.973,0.992,0.583,2.109,1.2097
40.0,0.586,1.982,1.009,0.590,1.976,1.1463
80.0,0.386,7.866,1.016,0.389,8.005,3.0661
120.0,-0.254,10.000,1.016,-0.253,10.213,-2.5467
160.0,-0.298,8.774,1.016,-0.298,8.945,-2.6191
200.0,-0.313,8.501,1.013,-0.313,8.687,-2.6719
240.0,-0.288,8.428,1.013,-0.288,8.611,-2.4408
280.0,-0.259,8.413,1.012,-0.259,8.604,-2.1905
320.0,-0.215,8.403,1.012,-0.215,8.594,-1.8146
360.0,-0.176,8.413,1.012,-0.175,8.604,-1.4844
400.0,-0.146,8.389,1.011,-0.146,8.587,-1.2337
440.0,-0.107,8.384,1.009,-0.107,8.599,-0.9051
480.0,-0.073,8.364,1.008,-0.073,8.587,-0.6146
520.0,-0.034,8.369,1.007,-0.034,8.600,-0.2843
560.0,0.000,8.354,1.007,0.001,8.585,0.0063
600.0,0.039,8.359,1.006,0.040,8.598,0.3375
640.0,0.073,8.340,1.006,0.074,8.578,0.6265
680.0,0.112,8.345,1.005,0.113,8.591,0.9584
720.0,0.146,8.330,1.004,0.148,8.585,1.2468
760.0,0.186,8.335,1.004,0.187,8.590,1.5793
800.0,0.225,8.315,1.004,0.226,8.569,1.9065
840.0,0.264,8.320,1.004,0.265,8.575,2.2387
880.0,0.298,8.301,1.004,0.300,8.554,2.5225
920.0,0.337,8.291,1.004,0.339,8.544,2.8495
960.0,0.361,8.267,1.004,0.364,8.519,3.0467
1000.0,0.386,8.228,1.004,0.388,8.479,3.2369
1040.0,0.405,8.179,1.004,0.408,8.428,3.3803
1080.0,0.425,8.101,1.004,0.427,8.347,3.5091
1120.0,0.435,8.032,1.004,0.437,8.276,3.5593
1160.0,0.449,7.935,1.004,0.452,8.175,3.6342
1200.0,0.454,7.852,1.004,0.457,8.090,3.6351
1240.0,0.464,7.739,1.004,0.467,7.973,3.6598
1280.0,0.474,7.646,1.003,0.476,7.886,3.6949
1320.0,0.479,7.534,1.004,0.481,7.761,3.6749
1360.0,0.483,7.437,1.004,0.486,7.660,3.6640
1400.0,0.488,7.319,1.004,0.491,7.539,3.6424
1440.0,0.488,7.217,1.004,0.491,7.433,3.5911
1480.0,0.493,7.090,1.004,0.496,7.301,3.5629
1520.0,0.503,6.992,1.004,0.506,7.200,3.5831
1560.0,0.503,6.870,1.004,0.506,7.074,3.5203
1600.0,0.508,6.768,1.004,0.511,6.968,3.5011
1640.0,0.513,6.631,1.004,0.516,6.827,3.4630
1680.0,0.513,6.519,1.004,0.516,6.710,3.4041
1720.0,0.518,6.392,1.004,0.521,6.579,3.3692
1760.0,0.518,6.289,1.004,0.521,6.473,3.3149
1800.0,0.522,6.157,1.004,0.526,6.337,3.2756
1840.0,0.527,6.055,1.004,0.530,6.231,3.2509
1880.0,0.527,5.923,1.004,0.530,6.094,3.1797
1920.0,0.527,5.815,1.004,0.530,5.983,3.1217
1960.0,0.532,5.684,1.004,0.535,5.847,3.0788
2000.0,0.532,5.576,1.004,0.535,5.735,3.0202
2040.0,0.537,5.444,1.004,0.540,5.599,2.9754
2080.0,0.537,5.337,1.004,0.540,5.488,2.9164
2120.0,0.542,5.205,1.004,0.545,5.352,2.8697
2160.0,0.542,5.098,1.004,0.545,5.240,2.8101
2200.0,0.547,4.966,1.004,0.550,5.104,2.7616
2240.0,0.552,4.858,1.004,0.555,4.993,2.7256
2280.0,0.552,4.722,1.004,0.555,4.851,2.6484
