PASAN Tester - Labo + TC 1.00, STC Performance
to 13 august 2020,11:13
Operator,Manufacturer,Module type,Serial number,Module ID code
NRIE,Sergiu,Mono 156,,Albarino T
Cell area (cm²),Module area (cm²),Cells in parallel,Cells in series
243.40,243.4,1,1
Reference cell,Calibration value (mV/kW/m²),Current range,Voltage range,Ref cell temp (°C)
MPT 1434-4,104.2,10.0,10.0,24.9
Filter name,Attenuation (%)
None,100.0
Mean irradiance (kW/m²),Cell efficiency (%),Module efficiency (%),Fill factor (%)
1.004,15.1,15.1,69.0
Pmax,Module temperature (°C)
3.665,35.1
Module voltage
Voc,Vmp,Series resistance
0.618,0.472,0.0124
Module current
Isc,Imp,Shunt resistance
8.595,7.903,18.0
Observations

Number of samples,Total time[us]
100,4000.0
Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.581,1.987,1.000,0.584,2.056,1.1811
40.0,0.586,1.997,1.014,0.590,1.949,1.1320
80.0,0.381,7.905,1.019,0.385,8.021,3.0356
120.0,-0.347,10.000,1.020,-0.346,10.180,-3.4686
160.0,-0.322,8.784,1.019,-0.322,8.930,-2.8281
200.0,-0.313,8.516,1.016,-0.312,8.677,-2.6667
240.0,-0.288,8.438,1.015,-0.288,8.605,-2.4375
280.0,-0.254,8.428,1.014,-0.254,8.603,-2.1472
320.0,-0.210,8.403,1.013,-0.210,8.586,-1.7708
360.0,-0.171,8.408,1.011,-0.171,8.607,-1.4446
400.0,-0.132,8.389,1.010,-0.131,8.595,-1.1115
440.0,-0.088,8.389,1.009,-0.087,8.604,-0.7397
480.0,-0.054,8.374,1.009,-0.053,8.588,-0.4482
520.0,-0.015,8.374,1.008,-0.014,8.597,-0.1175
560.0,0.020,8.354,1.007,0.020,8.585,0.1719
600.0,0.059,8.364,1.006,0.060,8.603,0.5036
640.0,0.098,8.340,1.005,0.099,8.586,0.8334
680.0,0.137,8.345,1.005,0.138,8.591,1.1656
720.0,0.171,8.330,1.004,0.172,8.585,1.4539
760.0,0.210,8.335,1.004,0.211,8.590,1.7865
800.0,0.244,8.320,1.004,0.246,8.575,2.0731
840.0,0.283,8.320,1.004,0.285,8.575,2.4042
880.0,0.303,8.306,1.004,0.305,8.559,2.5652
920.0,0.337,8.291,1.004,0.339,8.544,2.8494
960.0,0.356,8.271,1.004,0.359,8.524,3.0073
1000.0,0.386,8.228,1.004,0.388,8.479,3.2368
1040.0,0.400,8.188,1.004,0.403,8.438,3.3436
1080.0,0.420,8.115,1.004,0.422,8.362,3.4750
1120.0,0.435,8.047,1.004,0.437,8.292,3.5657
1160.0,0.444,7.954,1.004,0.447,8.196,3.6035
1200.0,0.454,7.871,1.004,0.457,8.110,3.6441
1240.0,0.459,7.764,1.004,0.462,7.999,3.6327
1280.0,0.469,7.671,1.004,0.472,7.903,3.6654
1320.0,0.474,7.554,1.004,0.476,7.781,3.6468
1360.0,0.479,7.461,1.004,0.481,7.685,3.6389
1400.0,0.483,7.334,1.004,0.486,7.554,3.6132
1440.0,0.488,7.241,1.004,0.491,7.458,3.6033
1480.0,0.493,7.114,1.004,0.496,7.327,3.5752
1520.0,0.498,7.012,1.004,0.501,7.221,3.5583
1560.0,0.503,6.890,1.004,0.506,7.094,3.5303
1600.0,0.503,6.787,1.004,0.506,6.988,3.4775
1640.0,0.508,6.646,1.004,0.511,6.842,3.4376
1680.0,0.513,6.538,1.004,0.516,6.731,3.4142
1720.0,0.513,6.411,1.004,0.516,6.599,3.3476
1760.0,0.518,6.304,1.004,0.521,6.488,3.3226
1800.0,0.522,6.177,1.004,0.525,6.357,3.2860
1840.0,0.522,6.069,1.004,0.525,6.246,3.2285
1880.0,0.527,5.938,1.004,0.530,6.109,3.1875
1920.0,0.527,5.835,1.004,0.530,6.003,3.1322
1960.0,0.527,5.698,1.004,0.530,5.862,3.0584
2000.0,0.532,5.591,1.004,0.535,5.751,3.0281
2040.0,0.537,5.459,1.004,0.540,5.614,2.9834
2080.0,0.537,5.352,1.004,0.540,5.503,2.9244
2120.0,0.542,5.220,1.004,0.545,5.367,2.8778
2160.0,0.547,5.112,1.004,0.550,5.256,2.8436
2200.0,0.547,4.976,1.004,0.550,5.114,2.7670
2240.0,0.547,4.868,1.004,0.550,5.003,2.7069
2280.0,0.547,4.731,1.004,0.550,4.861,2.6304
2320.0,0.552,4.624,1.004,0.555,4.750,2.5932
2360.0,0.557,4.487,1.004,0.560,4.609,2.5382
2400.0,0.557,4.385,1.004,0.560,4.503,2.4798
2440.0,0.557,4.243,1.004,0.560,4.356,2.3991
2480.0,0.557,4.136,1.004,0.560,4.245,2.3379
2520.0,0.562,3.999,1.004,0.565,4.104,2.2798
2560.0,0.562,3.892,1.004,0.565,3.993,2.2180
2600.0,0.566,3.755,1.004,0.570,3.851,2.1581
2640.0,0.566,3.643,1.004,0.570,3.735,2.0929
2680.0,0.566,3.506,1.003,0.570,3.602,2.0180
2720.0,0.571,3.394,1.004,0.575,3.477,1.9654
2760.0,0.571,3.257,1.004,0.575,3.336,1.8854
2800.0,0.576,3.145,1.004,0.579,3.220,1.8353
2840.0,0.576,3.008,1.004,0.579,3.078,1.7547
2880.0,0.576,2.900,1.004,0.579,2.967,1.6913
2920.0,0.581,2.759,1.004,0.584,2.821,1.6214
2960.0,0.581,2.646,1.004,0.584,2.704,1.5546
3000.0,0.586,2.510,1.004,0.589,2.563,1.4857
3040.0,0.586,2.402,1.004,0.589,2.452,1.4213
3080.0,0.586,2.261,1.004,0.589,2.305,1.3363
3120.0,0.586,2.148,1.004,0.589,2.189,1.2690
3160.0,0.586,2.002,1.004,0.589,2.038,1.1811
3200.0,0.591,1.904,1.004,0.594,1.937,1.1319
3240.0,0.591,1.763,1.004,0.594,1.790,1.0463
3280.0,0.596,1.655,1.004,0.599,1.679,0.9894
3320.0,0.596,1.514,1.004,0.599,1.532,0.9031
3360.0,0.596,1.401,1.004,0.599,1.416,0.8346
3400.0,0.596,1.245,1.004,0.599,1.255,0.7393
3440.0,0.601,1.133,1.004,0.604,1.138,0.6764
3480.0,0.601,0.991,1.004,0.604,0.992,0.5893
3520.0,0.605,0.879,1.004,0.609,0.876,0.5245
3560.0,0.605,0.737,1.004,0.609,0.729,0.4368
3600.0,0.605,0.625,1.004,0.609,0.613,0.3672
3640.0,0.610,0.483,1.004,0.614,0.466,0.2817
3680.0,0.610,0.376,1.004,0.614,0.355,0.2145
3720.0,0.610,0.234,1.004,0.614,0.209,0.1261
3760.0,0.615,0.122,1.004,0.619,0.093,0.0564
3800.0,0.615,-0.015,1.004,0.619,-0.049,-0.0297
3840.0,0.615,-0.132,1.004,0.619,-0.170,-0.1035
3880.0,0.620,-0.269,1.004,0.624,-0.312,-0.1911
3920.0,0.620,-0.386,1.004,0.624,-0.433,-0.2655
3960.0,0.620,-0.522,1.004,0.624,-0.574,-0.3523
