PASAN Tester - Labo + TC 1.00, STC Performance
to 13 august 2020,11:42
Operator,Manufacturer,Module type,Serial number,Module ID code
NRIE,Sergiu,Mono 156,,Albarino T
Cell area (cm²),Module area (cm²),Cells in parallel,Cells in series
243.40,243.4,1,1
Reference cell,Calibration value (mV/kW/m²),Current range,Voltage range,Ref cell temp (°C)
MPT 1434-4,104.2,10.0,10.0,26.4
Filter name,Attenuation (%)
None,100.0
Mean irradiance (kW/m²),Cell efficiency (%),Module efficiency (%),Fill factor (%)
1.004,14.3,14.3,67.9
Pmax,Module temperature (°C)
3.490,45.0
Module voltage
Voc,Vmp,Series resistance
0.597,0.452,0.0126
Module current
Isc,Imp,Shunt resistance
8.612,7.852,10.7
Observations

Number of samples,Total time[us]
100,4000.0
Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.566,1.724,0.984,0.568,1.921,1.0724
40.0,0.571,1.724,1.005,0.575,1.741,0.9843
80.0,0.371,7.427,1.014,0.374,7.567,2.7868
120.0,0.361,10.000,1.014,0.365,10.229,3.6686
160.0,-0.010,8.428,1.014,-0.008,8.602,-0.0708
200.0,-0.220,8.403,1.013,-0.219,8.585,-1.8536
240.0,-0.244,8.408,1.012,-0.244,8.599,-2.0649
280.0,-0.210,8.423,1.012,-0.210,8.614,-1.7774
320.0,-0.176,8.418,1.012,-0.175,8.609,-1.4855
360.0,-0.137,8.418,1.010,-0.136,8.625,-1.1570
400.0,-0.103,8.394,1.009,-0.102,8.608,-0.8647
440.0,-0.068,8.398,1.008,-0.068,8.622,-0.5756
480.0,-0.029,8.379,1.008,-0.029,8.602,-0.2421
520.0,0.005,8.379,1.007,0.006,8.610,0.0477
560.0,0.039,8.364,1.006,0.040,8.603,0.3375
600.0,0.078,8.364,1.005,0.079,8.612,0.6695
640.0,0.112,8.350,1.005,0.113,8.596,0.9588
680.0,0.156,8.354,1.004,0.157,8.610,1.3335
720.0,0.186,8.330,1.004,0.187,8.585,1.5782
760.0,0.225,8.335,1.004,0.226,8.590,1.9109
800.0,0.254,8.320,1.004,0.256,8.574,2.1559
840.0,0.298,8.315,1.004,0.300,8.569,2.5269
880.0,0.327,8.286,1.004,0.329,8.539,2.7653
920.0,0.352,8.252,1.004,0.354,8.504,2.9591
960.0,0.371,8.208,1.004,0.373,8.458,3.1066
1000.0,0.391,8.140,1.004,0.393,8.388,3.2425
1040.0,0.405,8.076,1.004,0.408,8.322,3.3377
1080.0,0.420,7.983,1.004,0.422,8.226,3.4183
1120.0,0.425,7.900,1.004,0.427,8.140,3.4219
1160.0,0.435,7.808,1.004,0.437,8.044,3.4592
1200.0,0.439,7.729,1.004,0.442,7.963,3.4629
1240.0,0.449,7.622,1.004,0.452,7.852,3.4904
1280.0,0.454,7.524,1.004,0.457,7.751,3.4829
1320.0,0.459,7.402,1.004,0.462,7.625,3.4629
1360.0,0.464,7.314,1.004,0.467,7.534,3.4580
1400.0,0.469,7.188,1.003,0.471,7.411,3.4366
1440.0,0.474,7.090,1.004,0.476,7.301,3.4218
1480.0,0.474,6.963,1.004,0.476,7.170,3.3603
1520.0,0.479,6.865,1.004,0.481,7.069,3.3471
1560.0,0.483,6.743,1.004,0.486,6.943,3.3208
1600.0,0.488,6.641,1.004,0.491,6.837,3.3030
1640.0,0.488,6.504,1.004,0.491,6.695,3.2347
1680.0,0.493,6.396,1.004,0.496,6.584,3.2128
1720.0,0.493,6.274,1.004,0.496,6.458,3.1512
1760.0,0.498,6.167,1.004,0.501,6.347,3.1276
1800.0,0.503,6.040,1.004,0.506,6.215,3.0928
1840.0,0.498,5.933,1.004,0.501,6.104,3.0081
1880.0,0.508,5.806,1.004,0.511,5.973,3.0010
1920.0,0.508,5.703,1.004,0.511,5.867,2.9477
1960.0,0.513,5.571,1.004,0.516,5.730,2.9068
2000.0,0.513,5.464,1.004,0.516,5.619,2.8505
2040.0,0.518,5.332,1.004,0.521,5.483,2.8077
2080.0,0.518,5.225,1.004,0.521,5.372,2.7508
2120.0,0.522,5.093,1.004,0.525,5.235,2.7062
2160.0,0.522,4.985,1.004,0.525,5.124,2.6488
2200.0,0.522,4.854,1.004,0.525,4.988,2.5783
2240.0,0.527,4.746,1.004,0.530,4.877,2.5444
2280.0,0.527,4.609,1.004,0.530,4.735,2.4706
2320.0,0.532,4.502,1.004,0.535,4.624,2.4349
2360.0,0.532,4.370,1.004,0.535,4.488,2.3631
2400.0,0.532,4.263,1.004,0.535,4.376,2.3046
2440.0,0.537,4.121,1.004,0.540,4.230,2.2478
2480.0,0.537,4.019,1.004,0.540,4.124,2.1915
2520.0,0.542,3.882,1.004,0.545,3.982,2.1355
2560.0,0.542,3.779,1.004,0.545,3.876,2.0786
2600.0,0.547,3.638,1.004,0.550,3.730,2.0181
2640.0,0.547,3.530,1.004,0.550,3.619,1.9579
2680.0,0.547,3.394,1.004,0.550,3.477,1.8814
2720.0,0.552,3.286,1.004,0.555,3.366,1.8375
2760.0,0.552,3.149,1.004,0.555,3.225,1.7603
2800.0,0.557,3.042,1.004,0.560,3.114,1.7147
2840.0,0.557,2.905,1.004,0.560,2.972,1.6368
2880.0,0.557,2.793,1.004,0.560,2.856,1.5728
2920.0,0.557,2.656,1.004,0.560,2.714,1.4949
2960.0,0.562,2.549,1.004,0.565,2.603,1.4462
3000.0,0.562,2.412,1.004,0.565,2.462,1.3677
3040.0,0.566,2.300,1.004,0.570,2.346,1.3144
3080.0,0.566,2.163,1.004,0.570,2.204,1.2352
3120.0,0.566,2.056,1.004,0.570,2.093,1.1729
3160.0,0.566,1.909,1.004,0.570,1.942,1.0880
3200.0,0.571,1.812,1.004,0.575,1.840,1.0402
3240.0,0.571,1.675,1.004,0.575,1.699,0.9603
3280.0,0.571,1.567,1.004,0.575,1.588,0.8975
3320.0,0.576,1.426,1.004,0.579,1.441,0.8216
3360.0,0.576,1.313,1.004,0.579,1.325,0.7554
3400.0,0.581,1.167,1.004,0.584,1.174,0.6747
3440.0,0.581,1.050,1.004,0.584,1.052,0.6050
3480.0,0.581,0.913,1.004,0.584,0.911,0.5237
3520.0,0.586,0.801,1.004,0.589,0.795,0.4607
3560.0,0.586,0.659,1.004,0.589,0.648,0.3758
3600.0,0.586,0.557,1.004,0.589,0.542,0.3143
3640.0,0.586,0.415,1.004,0.589,0.396,0.2294
3680.0,0.591,0.308,1.004,0.594,0.285,0.1663
3720.0,0.591,0.166,1.004,0.594,0.138,0.0807
3760.0,0.591,0.054,1.004,0.594,0.022,0.0128
3800.0,0.596,-0.083,1.004,0.599,-0.120,-0.0705
3840.0,0.596,-0.195,1.004,0.599,-0.236,-0.1390
3880.0,0.596,-0.332,1.004,0.599,-0.377,-0.2223
3920.0,0.601,-0.444,1.004,0.604,-0.493,-0.2932
3960.0,0.601,-0.581,1.004,0.604,-0.635,-0.3772
