PASAN Tester - Labo + TC 1.00, STC Performance
to 13 august 2020,11:42
Operator,Manufacturer,Module type,Serial number,Module ID code
NRIE,Sergiu,Mono 156,,Albarino T
Cell area (cm²),Module area (cm²),Cells in parallel,Cells in series
243.40,243.4,1,1
Reference cell,Calibration value (mV/kW/m²),Current range,Voltage range,Ref cell temp (°C)
MPT 1434-4,104.2,10.0,10.0,26.4
Filter name,Attenuation (%)
None,100.0
Mean irradiance (kW/m²),Cell efficiency (%),Module efficiency (%),Fill factor (%)
1.004,14.4,14.4,68.2
Pmax,Module temperature (°C)
3.502,45.0
Module voltage
Voc,Vmp,Series resistance
0.596,0.452,0.0122
Module current
Isc,Imp,Shunt resistance
8.613,7.877,9.3
Observations

Number of samples,Total time[us]
100,4000.0
Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.562,1.914,1.000,0.564,1.980,1.0993
40.0,0.566,1.924,1.015,0.571,1.865,1.0473
80.0,0.361,7.837,1.020,0.365,7.942,2.8529
120.0,0.151,10.000,1.021,0.154,10.172,1.5435
160.0,-0.142,8.755,1.020,-0.140,8.892,-1.2270
200.0,-0.269,8.525,1.017,-0.268,8.679,-2.2895
240.0,-0.278,8.457,1.015,-0.278,8.625,-2.3601
280.0,-0.254,8.438,1.014,-0.254,8.613,-2.1498
320.0,-0.220,8.418,1.012,-0.220,8.609,-1.8597
360.0,-0.181,8.423,1.012,-0.180,8.614,-1.5281
400.0,-0.146,8.408,1.011,-0.146,8.607,-1.2369
440.0,-0.112,8.408,1.010,-0.112,8.615,-0.9478
480.0,-0.073,8.394,1.009,-0.073,8.609,-0.6155
520.0,-0.039,8.389,1.008,-0.038,8.612,-0.3256
560.0,-0.005,8.369,1.007,-0.004,8.600,-0.0354
600.0,0.034,8.374,1.006,0.035,8.613,0.2963
640.0,0.068,8.350,1.005,0.069,8.596,0.5853
680.0,0.107,8.359,1.005,0.108,8.607,0.9184
720.0,0.142,8.340,1.004,0.143,8.595,1.2067
760.0,0.181,8.350,1.004,0.182,8.605,1.5404
800.0,0.215,8.330,1.004,0.216,8.585,1.8268
840.0,0.254,8.330,1.004,0.256,8.585,2.1584
880.0,0.283,8.311,1.004,0.285,8.564,2.4013
920.0,0.317,8.301,1.004,0.319,8.554,2.6876
960.0,0.342,8.267,1.004,0.344,8.519,2.8821
1000.0,0.366,8.223,1.004,0.368,8.473,3.0712
1040.0,0.381,8.174,1.004,0.383,8.423,3.1749
1080.0,0.400,8.096,1.004,0.403,8.342,3.3055
1120.0,0.410,8.027,1.004,0.413,8.271,3.3573
1160.0,0.425,7.925,1.004,0.427,8.165,3.4325
1200.0,0.430,7.847,1.004,0.432,8.084,3.4375
1240.0,0.439,7.734,1.004,0.442,7.968,3.4651
1280.0,0.449,7.646,1.004,0.452,7.877,3.5016
1320.0,0.454,7.524,1.004,0.457,7.751,3.4828
1360.0,0.454,7.432,1.004,0.457,7.655,3.4397
1400.0,0.459,7.305,1.004,0.462,7.524,3.4170
1440.0,0.464,7.212,1.004,0.467,7.428,3.4093
1480.0,0.474,7.085,1.004,0.476,7.296,3.4194
1520.0,0.479,6.987,1.004,0.481,7.195,3.4068
1560.0,0.479,6.860,1.004,0.481,7.064,3.3446
1600.0,0.483,6.753,1.004,0.486,6.953,3.3256
1640.0,0.488,6.616,1.004,0.491,6.811,3.2908
1680.0,0.488,6.514,1.003,0.491,6.714,3.2429
1720.0,0.493,6.377,1.004,0.496,6.564,3.2029
1760.0,0.493,6.274,1.004,0.496,6.458,3.1511
1800.0,0.498,6.143,1.004,0.501,6.321,3.1151
1840.0,0.503,6.040,1.004,0.506,6.215,3.0928
1880.0,0.503,5.908,1.003,0.506,6.087,3.0285
1920.0,0.508,5.801,1.004,0.511,5.968,2.9984
1960.0,0.508,5.669,1.003,0.511,5.840,2.9335
2000.0,0.513,5.557,1.004,0.516,5.715,2.8991
2040.0,0.513,5.425,1.004,0.516,5.579,2.8299
2080.0,0.513,5.317,1.004,0.516,5.468,2.7736
2120.0,0.518,5.181,1.004,0.521,5.326,2.7275
2160.0,0.522,5.078,1.004,0.525,5.220,2.6984
2200.0,0.522,4.941,1.004,0.525,5.079,2.6253
2240.0,0.527,4.834,1.004,0.530,4.968,2.5918
2280.0,0.527,4.697,1.004,0.530,4.826,2.5180
2320.0,0.527,4.580,1.004,0.530,4.705,2.4547
2360.0,0.532,4.448,1.004,0.535,4.568,2.4056
2400.0,0.532,4.341,1.004,0.535,4.457,2.3471
2440.0,0.537,4.204,1.004,0.540,4.316,2.2935
2480.0,0.537,4.092,1.004,0.540,4.200,2.2317
2520.0,0.537,3.955,1.004,0.540,4.058,2.1565
2560.0,0.542,3.848,1.004,0.545,3.947,2.1165
2600.0,0.542,3.706,1.004,0.545,3.801,2.0380
2640.0,0.547,3.599,1.004,0.550,3.689,1.9962
2680.0,0.547,3.462,1.004,0.550,3.548,1.9197
2720.0,0.547,3.350,1.004,0.550,3.432,1.8568
2760.0,0.552,3.208,1.004,0.555,3.285,1.7934
2800.0,0.557,3.101,1.004,0.560,3.174,1.7480
2840.0,0.557,2.959,1.004,0.560,3.028,1.6674
2880.0,0.557,2.852,1.004,0.560,2.917,1.6062
2920.0,0.557,2.710,1.004,0.560,2.770,1.5255
2960.0,0.562,2.598,1.004,0.565,2.654,1.4743
3000.0,0.562,2.456,1.004,0.565,2.507,1.3929
3040.0,0.566,2.344,1.004,0.570,2.391,1.3399
3080.0,0.566,2.202,1.004,0.570,2.245,1.2578
3120.0,0.566,2.095,1.004,0.570,2.133,1.1955
3160.0,0.566,1.948,1.004,0.570,1.982,1.1106
3200.0,0.571,1.846,1.004,0.575,1.876,1.0602
3240.0,0.571,1.704,1.004,0.575,1.729,0.9774
3280.0,0.571,1.597,1.004,0.575,1.618,0.9146
3320.0,0.571,1.455,1.004,0.575,1.472,0.8318
3360.0,0.576,1.343,1.004,0.579,1.356,0.7727
3400.0,0.576,1.191,1.004,0.579,1.199,0.6834
3440.0,0.581,1.069,1.004,0.584,1.073,0.6166
3480.0,0.581,0.933,1.004,0.584,0.931,0.5353
3520.0,0.586,0.815,1.004,0.589,0.810,0.4695
3560.0,0.586,0.679,1.004,0.589,0.668,0.3875
3600.0,0.586,0.566,1.004,0.589,0.552,0.3202
3640.0,0.586,0.430,1.004,0.589,0.411,0.2382
3680.0,0.591,0.317,1.004,0.594,0.295,0.1722
3720.0,0.591,0.171,1.004,0.594,0.143,0.0836
3760.0,0.591,0.059,1.004,0.594,0.027,0.0157
3800.0,0.596,-0.083,1.004,0.599,-0.120,-0.0705
3840.0,0.601,-0.195,1.004,0.604,-0.236,-0.1401
3880.0,0.596,-0.337,1.004,0.599,-0.382,-0.2253
3920.0,0.601,-0.449,1.004,0.604,-0.498,-0.2962
3960.0,0.601,-0.586,1.004,0.604,-0.640,-0.3802
