PASAN Tester - Labo + TC 1.00, STC Performance
to 13 august 2020,12:09
Operator,Manufacturer,Module type,Serial number,Module ID code
NRIE,Sergiu,Mono 156,,Albarino T
Cell area (cm²),Module area (cm²),Cells in parallel,Cells in series
243.40,243.4,1,1
Reference cell,Calibration value (mV/kW/m²),Current range,Voltage range,Ref cell temp (°C)
MPT 1434-4,104.2,10.0,10.0,27.4
Filter name,Attenuation (%)
None,100.0
Mean irradiance (kW/m²),Cell efficiency (%),Module efficiency (%),Fill factor (%)
1.004,14.0,14.0,67.1
Pmax,Module temperature (°C)
3.397,50.0
Module voltage
Voc,Vmp,Series resistance
0.587,0.437,0.0126
Module current
Isc,Imp,Shunt resistance
8.620,7.901,9.5
Observations

Number of samples,Total time[us]
100,4000.0
Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.562,1.719,0.996,0.564,1.812,1.0053
40.0,0.557,1.729,1.012,0.561,1.688,0.9309
80.0,0.361,7.471,1.019,0.365,7.571,2.7194
120.0,0.376,10.000,1.020,0.380,10.180,3.8048
160.0,-0.029,8.296,1.018,-0.028,8.433,-0.2285
200.0,-0.225,8.398,1.016,-0.224,8.555,-1.8855
240.0,-0.234,8.428,1.015,-0.234,8.594,-1.9779
280.0,-0.205,8.442,1.013,-0.205,8.626,-1.7371
320.0,-0.171,8.423,1.013,-0.170,8.605,-1.4423
360.0,-0.132,8.428,1.012,-0.131,8.619,-1.1125
400.0,-0.098,8.408,1.011,-0.097,8.607,-0.8211
440.0,-0.059,8.408,1.009,-0.058,8.623,-0.4914
480.0,-0.020,8.394,1.009,-0.019,8.608,-0.1581
520.0,0.015,8.398,1.008,0.016,8.622,0.1321
560.0,0.049,8.374,1.007,0.050,8.605,0.4217
600.0,0.088,8.384,1.006,0.089,8.623,0.7547
640.0,0.122,8.359,1.006,0.123,8.598,1.0430
680.0,0.161,8.359,1.005,0.162,8.606,1.3755
720.0,0.195,8.345,1.005,0.197,8.591,1.6634
760.0,0.234,8.345,1.004,0.236,8.600,1.9962
800.0,0.269,8.320,1.004,0.270,8.574,2.2801
840.0,0.303,8.311,1.004,0.305,8.564,2.5668
880.0,0.327,8.276,1.004,0.329,8.529,2.7621
920.0,0.352,8.232,1.004,0.354,8.483,2.9521
960.0,0.371,8.184,1.003,0.373,8.441,3.0996
1000.0,0.386,8.105,1.004,0.388,8.352,3.1886
1040.0,0.396,8.037,1.004,0.398,8.281,3.2416
1080.0,0.410,7.939,1.003,0.413,8.189,3.3230
1120.0,0.420,7.861,1.004,0.422,8.100,3.3659
1160.0,0.430,7.754,1.004,0.432,7.988,3.3968
1200.0,0.435,7.661,1.003,0.437,7.901,3.3969
1240.0,0.439,7.544,1.004,0.442,7.771,3.3795
1280.0,0.444,7.451,1.004,0.447,7.675,3.3748
1320.0,0.449,7.329,1.004,0.452,7.549,3.3557
1360.0,0.454,7.231,1.004,0.457,7.448,3.3467
1400.0,0.459,7.109,1.004,0.462,7.322,3.3253
1440.0,0.464,7.012,1.004,0.467,7.221,3.3143
1480.0,0.469,6.890,1.004,0.472,7.094,3.2906
1520.0,0.469,6.787,1.004,0.472,6.988,3.2413
