PASAN Tester - Labo + TC 1.00, STC Performance
to 13 august 2020,12:50
Operator,Manufacturer,Module type,Serial number,Module ID code
NRIE,Sergiu,Mono 156,,Albarino T
Cell area (cm²),Module area (cm²),Cells in parallel,Cells in series
243.40,243.4,1,1
Reference cell,Calibration value (mV/kW/m²),Current range,Voltage range,Ref cell temp (°C)
MPT 1434-4,104.2,10.0,10.0,29.1
Filter name,Attenuation (%)
None,100.0
Mean irradiance (kW/m²),Cell efficiency (%),Module efficiency (%),Fill factor (%)
1.004,13.6,13.6,66.6
Pmax,Module temperature (°C)
3.309,54.9
Module voltage
Voc,Vmp,Series resistance
0.576,0.437,0.0126
Module current
Isc,Imp,Shunt resistance
8.620,7.695,10.8
Observations

Number of samples,Total time[us]
100,4000.0
Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.542,1.831,0.997,0.544,1.920,1.0281
40.0,0.542,1.836,1.014,0.546,1.782,0.9576
80.0,0.347,7.705,1.020,0.351,7.805,2.6912
120.0,0.352,10.000,1.020,0.355,10.180,3.5590
160.0,-0.010,8.418,1.019,-0.008,8.551,-0.0658
200.0,-0.220,8.423,1.016,-0.219,8.581,-1.8497
240.0,-0.239,8.438,1.015,-0.239,8.604,-2.0218
280.0,-0.215,8.442,1.013,-0.215,8.626,-1.8204
320.0,-0.181,8.433,1.013,-0.180,8.616,-1.5272
360.0,-0.146,8.438,1.012,-0.146,8.629,-1.2388
400.0,-0.103,8.413,1.011,-0.102,8.612,-0.8631
440.0,-0.063,8.418,1.010,-0.063,8.625,-0.5323
480.0,-0.034,8.403,1.009,-0.033,8.618,-0.2831
520.0,0.005,8.398,1.008,0.006,8.622,0.0488
560.0,0.039,8.379,1.007,0.040,8.610,0.3388
600.0,0.078,8.379,1.006,0.079,8.618,0.6710
640.0,0.112,8.364,1.005,0.113,8.611,0.9606
680.0,0.151,8.364,1.005,0.153,8.611,1.2932
720.0,0.181,8.345,1.005,0.182,8.591,1.5390
760.0,0.220,8.350,1.004,0.221,8.605,1.8728
800.0,0.249,8.325,1.004,0.251,8.579,2.1158
840.0,0.288,8.315,1.004,0.290,8.569,2.4442
880.0,0.308,8.281,1.004,0.310,8.534,2.5989
920.0,0.332,8.242,1.004,0.334,8.494,2.7916
960.0,0.352,8.198,1.004,0.354,8.448,2.9398
1000.0,0.371,8.120,1.004,0.373,8.367,3.0732
1040.0,0.381,8.052,1.004,0.383,8.297,3.1273
1080.0,0.396,7.954,1.004,0.398,8.196,3.2079
1120.0,0.400,7.876,1.004,0.403,8.115,3.2155
