PASAN Tester - Labo + TC 1.00, STC Performance
to 13 august 2020,11:01
Operator,Manufacturer,Module type,Serial number,Module ID code
NRIE,Sergiu,Mono 156,,Albarino T
Cell area (cm²),Module area (cm²),Cells in parallel,Cells in series
243.40,243.4,1,1
Reference cell,Calibration value (mV/kW/m²),Current range,Voltage range,Ref cell temp (°C)
MPT 1434-4,104.2,10.0,10.0,24.7
Filter name,Attenuation (%)
None,100.0
Mean irradiance (kW/m²),Cell efficiency (%),Module efficiency (%),Fill factor (%)
1.004,15.5,15.5,70.0
Pmax,Module temperature (°C)
3.763,30.1
Module voltage
Voc,Vmp,Series resistance
0.626,0.491,0.0113
Module current
Isc,Imp,Shunt resistance
8.588,7.790,20.4
Observations

Number of samples,Total time[us]
100,4000.0
Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.591,1.958,1.000,0.594,2.026,1.1832
40.0,0.591,1.968,1.014,0.595,1.919,1.1235
80.0,0.391,7.808,1.020,0.394,7.912,3.0702
120.0,-0.317,10.000,1.021,-0.317,10.172,-3.1719
160.0,-0.273,8.774,1.020,-0.273,8.912,-2.3926
200.0,-0.269,8.525,1.017,-0.268,8.679,-2.2905
240.0,-0.239,8.442,1.015,-0.239,8.610,-2.0244
280.0,-0.220,8.418,1.013,-0.220,8.601,-1.8578
320.0,-0.166,8.394,1.012,-0.166,8.584,-1.3992
360.0,-0.132,8.403,1.012,-0.131,8.594,-1.1104
400.0,-0.093,8.384,1.010,-0.092,8.590,-0.7798
440.0,-0.078,8.389,1.010,-0.078,8.595,-0.6558
480.0,-0.034,8.369,1.009,-0.033,8.583,-0.2828
520.0,0.005,8.369,1.008,0.006,8.592,0.0479
560.0,0.039,8.345,1.007,0.040,8.575,0.3368
600.0,0.078,8.354,1.006,0.079,8.593,0.6686
640.0,0.112,8.335,1.005,0.113,8.581,0.9568
680.0,0.156,8.335,1.005,0.158,8.581,1.3296
720.0,0.186,8.320,1.004,0.187,8.575,1.5761
760.0,0.234,8.330,1.004,0.236,8.585,1.9924
800.0,0.259,8.315,1.004,0.260,8.569,2.1957
840.0,0.303,8.315,1.004,0.305,8.569,2.5680
880.0,0.327,8.291,1.004,0.329,8.544,2.7666
920.0,0.361,8.276,1.004,0.364,8.529,3.0499
960.0,0.386,8.237,1.004,0.388,8.489,3.2404
1000.0,0.410,8.198,1.004,0.413,8.448,3.4289
1040.0,0.425,8.145,1.004,0.427,8.393,3.5278
1080.0,0.444,8.062,1.004,0.447,8.307,3.6521
1120.0,0.454,7.983,1.004,0.457,8.226,3.6960
1160.0,0.464,7.876,1.004,0.467,8.115,3.7244
1200.0,0.474,7.769,1.004,0.476,8.004,3.7507
1240.0,0.479,7.651,1.003,0.481,7.891,3.7352
1280.0,0.488,7.554,1.003,0.491,7.790,3.7625
1320.0,0.493,7.417,1.004,0.496,7.640,3.7278
1360.0,0.498,7.319,1.003,0.501,7.547,3.7183
1400.0,0.503,7.197,1.004,0.506,7.413,3.6884
1440.0,0.508,7.095,1.004,0.511,7.307,3.6709
1480.0,0.508,6.968,1.004,0.511,7.175,3.6049
1520.0,0.513,6.865,1.004,0.516,7.069,3.5857
1560.0,0.513,6.743,1.004,0.516,6.943,3.5217
1600.0,0.522,6.641,1.004,0.525,6.837,3.5339
1640.0,0.522,6.504,1.004,0.525,6.695,3.4607
1680.0,0.522,6.401,1.004,0.525,6.589,3.4059
1720.0,0.527,6.274,1.004,0.530,6.458,3.3692
1760.0,0.532,6.172,1.004,0.535,6.352,3.3445
1800.0,0.532,6.035,1.004,0.535,6.210,3.2700
1840.0,0.537,5.938,1.004,0.540,6.109,3.2463
1880.0,0.537,5.811,1.004,0.540,5.978,3.1765
1920.0,0.537,5.708,1.004,0.540,5.872,3.1201
1960.0,0.542,5.576,1.004,0.545,5.735,3.0754
2000.0,0.547,5.469,1.004,0.550,5.624,3.0429
2040.0,0.547,5.342,1.004,0.550,5.493,2.9719
2080.0,0.552,5.239,1.004,0.555,5.387,2.9405
2120.0,0.552,5.103,1.004,0.555,5.245,2.8632
2160.0,0.552,5.000,1.004,0.555,5.139,2.8053
2200.0,0.557,4.873,1.004,0.560,5.008,2.7578
2240.0,0.557,4.766,1.004,0.560,4.897,2.6966
2280.0,0.562,4.629,1.004,0.565,4.755,2.6417
2320.0,0.562,4.526,1.004,0.565,4.649,2.5827
2360.0,0.562,4.395,1.004,0.565,4.513,2.5070
2400.0,0.566,4.287,1.004,0.570,4.402,2.4665
2440.0,0.566,4.155,1.004,0.570,4.265,2.3901
2480.0,0.571,4.048,1.004,0.575,4.154,2.3478
2520.0,0.566,3.916,1.004,0.570,4.018,2.2514
2560.0,0.571,3.809,1.004,0.575,3.907,2.2079
