PASAN Tester - Labo + TC 1.00, STC Performance
to 13 august 2020,11:25
Operator,Manufacturer,Module type,Serial number,Module ID code
NRIE,Sergiu,Mono 156,,Albarino T
Cell area (cm²),Module area (cm²),Cells in parallel,Cells in series
243.40,243.4,1,1
Reference cell,Calibration value (mV/kW/m²),Current range,Voltage range,Ref cell temp (°C)
MPT 1434-4,104.2,10.0,10.0,25.4
Filter name,Attenuation (%)
None,100.0
Mean irradiance (kW/m²),Cell efficiency (%),Module efficiency (%),Fill factor (%)
1.004,14.8,14.8,68.8
Pmax,Module temperature (°C)
3.603,39.9
Module voltage
Voc,Vmp,Series resistance
0.609,0.462,0.0126
Module current
Isc,Imp,Shunt resistance
8.609,7.933,11.3
Observations

Number of samples,Total time[us]
100,4000.0
Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.571,1.968,0.995,0.574,2.078,1.1727
40.0,0.576,1.973,1.012,0.580,1.941,1.1078
80.0,0.371,7.915,1.020,0.375,8.023,2.9599
120.0,-0.195,10.000,1.020,-0.194,10.180,-1.9448
160.0,-0.283,8.813,1.019,-0.283,8.961,-2.4914
200.0,-0.313,8.535,1.016,-0.312,8.697,-2.6727
240.0,-0.298,8.457,1.015,-0.298,8.625,-2.5263
280.0,-0.269,8.433,1.013,-0.269,8.616,-2.2759
320.0,-0.234,8.413,1.012,-0.234,8.604,-1.9829
360.0,-0.195,8.413,1.011,-0.195,8.612,-1.6531
400.0,-0.161,8.394,1.010,-0.161,8.600,-1.3611
440.0,-0.122,8.403,1.010,-0.122,8.610,-1.0302
480.0,-0.088,8.389,1.009,-0.087,8.603,-0.7395
520.0,-0.049,8.389,1.008,-0.048,8.612,-0.4086
560.0,-0.010,8.369,1.007,-0.009,8.600,-0.0768
600.0,0.024,8.369,1.006,0.025,8.608,0.2131
640.0,0.059,8.354,1.005,0.059,8.601,0.5027
680.0,0.098,8.354,1.005,0.099,8.601,0.8349
720.0,0.137,8.340,1.004,0.138,8.595,1.1653
