PASAN Tester - Labo + TC 1.00, STC Performance
to 13 august 2020,11:01
Operator,Manufacturer,Module type,Serial number,Module ID code
NRIE,Sergiu,Mono 156,,Albarino T
Cell area (cm²),Module area (cm²),Cells in parallel,Cells in series
243.40,243.4,1,1
Reference cell,Calibration value (mV/kW/m²),Current range,Voltage range,Ref cell temp (°C)
MPT 1434-4,104.2,10.0,10.0,24.6
Filter name,Attenuation (%)
None,100.0
Mean irradiance (kW/m²),Cell efficiency (%),Module efficiency (%),Fill factor (%)
1.004,15.4,15.4,69.8
Pmax,Module temperature (°C)
3.759,29.9
Module voltage
Voc,Vmp,Series resistance
0.627,0.491,0.0119
Module current
Isc,Imp,Shunt resistance
8.589,7.781,60.8
Observations

Number of samples,Total time[us]
100,4000.0
Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.596,1.772,1.001,0.599,1.825,1.0752
40.0,0.601,1.777,1.012,0.605,1.739,1.0343
80.0,0.400,7.461,1.017,0.404,7.578,3.0120
120.0,0.161,10.000,1.017,0.164,10.205,1.6424
160.0,-0.122,8.677,1.016,-0.121,8.844,-1.0536
200.0,-0.229,8.467,1.013,-0.229,8.651,-1.9519
240.0,-0.225,8.413,1.013,-0.224,8.596,-1.8978
280.0,-0.200,8.408,1.012,-0.200,8.599,-1.6918
320.0,-0.166,8.389,1.011,-0.166,8.587,-1.4002
360.0,-0.122,8.398,1.011,-0.122,8.597,-1.0283
400.0,-0.088,8.389,1.011,-0.087,8.587,-0.7369
440.0,-0.044,8.389,1.010,-0.043,8.595,-0.3651
480.0,-0.015,8.364,1.009,-0.014,8.578,-0.1167
520.0,0.024,8.369,1.008,0.025,8.592,0.2141
560.0,0.054,8.350,1.007,0.055,8.580,0.4614
600.0,0.098,8.354,1.006,0.099,8.593,0.8347
640.0,0.127,8.345,1.005,0.128,8.591,1.0825
680.0,0.171,8.340,1.005,0.172,8.586,1.4549
720.0,0.200,8.330,1.005,0.202,8.576,1.7016
760.0,0.244,8.335,1.004,0.246,8.590,2.0766
800.0,0.278,8.315,1.004,0.280,8.569,2.3613
840.0,0.308,8.315,1.004,0.310,8.569,2.6095
880.0,0.332,8.291,1.004,0.334,8.544,2.8080
920.0,0.366,8.271,1.004,0.368,8.524,3.0894
960.0,0.391,8.237,1.004,0.393,8.489,3.2815
1000.0,0.415,8.184,1.004,0.418,8.433,3.4635
1040.0,0.430,8.135,1.004,0.432,8.383,3.5642
