TimeStmp,DC Input Power to Inverter,MPP Power current,Output Power to Grid,,TimeStmp,DC Input Power,MPP Power slow ramp,Output Power to Grid,,,TimeStmp,DC Input Power to Inverter,MPP Power voltage,Output Power to Grid
23.50320253,1.8558,2.323602302,0.019748,,23.5,0.015706,3.8537688,-0.19459,,,23.500022,6.4529,6.520464377,3.3329
24.00326751,2.0585,2.323602302,0.019882,,24,0.016031,3.948571914,-0.19465,,,23.999994,6.4529,6.520464377,3.3317
24.50333249,2.1492,2.323602302,0.019921,,24.5,0.016295,4.044354805,-0.19411,,,25.167909,132.56,165.4911348,19.574
25.00339747,2.1092,2.323602302,0.019578,,25,0.016725,4.141118691,-0.1935,,,25.834847,159.65,167.9659431,147.69
25.50346245,1.9681,2.323602302,0.019523,,25.5,0.017023,4.238888593,-0.19318,,,26.334802,161.85,170.4406831,149.68
26.00352744,1.3666,2.323602302,0.019843,,26,0.017313,4.33775049,-0.19323,,,26.834761,163.55,172.9154914,151.18
26.50359242,1.3563,2.323602302,-0.000686,,26.5,0.017463,4.437589892,-0.19334,,,27.336728,164.8,175.3902313,152.35
27.0036574,1.3556,2.323602302,0.000496,,27,0.017746,4.53840667,-0.19319,,,27.832688,164.74,177.8650396,152.68
27.50372238,1.3346,2.323602302,-0.001468,,27.5,0.017933,4.640199669,-0.1931,,,28.334635,143.4,180.3397796,134.06
28.00378736,1.3274,2.323602302,-0.1789,,28,0.018164,4.742972163,-0.19337,,,28.833593,0,182.8145195,-0.21019
28.50385235,1.3334,2.323602302,-0.19708,,28.5,0.018545,4.846722066,-0.19333,,,29.331552,1.7866,185.2893278,-0.19278
29.00391733,1.346,2.323602302,-0.20273,,29,0.018927,4.951450646,-0.19313,,,29.831514,1.7866,187.7641361,0.24331
29.50398231,1.3691,2.323602302,-0.19632,,29.5,0.019271,5.057157566,-0.19415,,,30.330471,3.9178,190.2388761,0.24331
30.00404729,1.3691,2.323602302,-0.19632,,30,0.019531,5.163852504,-0.19435,,,30.831441,104.78,192.7136844,108.64
30.50411227,1.4342,2.323602302,0.9228,,30.5,0.019888,5.271515299,-0.19415,,,31.330395,130.98,195.1884927,128.7
31.00417725,1.9064,2.323602302,-0.18947,,31,0.02028,5.380158626,-0.19474,,,31.830348,130.98,197.6632326,138.41
31.50424224,1.9645,2.323602302,-0.19252,,31.5,0.020646,5.489782395,-0.19511,,,32.330303,160.32,200.1380409,145.18
32.00430722,2.0688,2.323602302,-0.19295,,32,0.020986,5.600383461,-0.19452,,,32.834262,175.22,202.6127809,151.75
32.5043722,2.1145,2.323602302,-0.19819,,32.5,0.021374,5.711964184,-0.19459,,,33.331231,182.37,205.0875892,157.34
33.00443718,2.0155,2.323602302,-0.19986,,33,0.021674,5.824525815,-0.19446,,,33.834179,186.99,207.5623291,185.46
33.50450216,1.4214,2.323602302,-0.19632,,33.5,0.02194,5.938065209,-0.19428,,,34.334146,190.73,210.0371374,185.46
34.00456715,1.3529,2.323602302,-0.19666,,34,0.02254,6.052594899,-0.19427,,,34.832096,193.76,212.5118774,190.71
34.50463213,1.3539,2.323602302,-0.19653,,34.5,0.022866,6.168094486,-0.19383,,,34.999083,196.08,212.5118774,191.5
35.00469711,1.3445,2.323602302,-0.19659,,35,0.023161,6.284574637,-0.19374,,,35.499051,197.5,212.5118774,191.46
35.50476209,1.3303,2.323602302,-0.19685,,35.5,0.023287,6.402034847,-0.19417,,,35.999007,198.06,212.5118774,190.64
36.00482707,1.3241,2.323602302,-0.19696,,36,0.023443,6.520474608,-0.19377,,,36.498968,198.46,212.5118774,189.84
36.50489205,1.3301,2.323602302,-0.20323,,36.5,0.023443,6.639895487,-0.19377,,,36.999926,198.88,212.5118774,189.4
37.00495704,1.3496,2.323602302,-0.19299,,37,0.023295,6.760294256,-0.19381,,,37.498884,201.64,212.5118774,189.07
37.50502202,1.3847,2.323602302,0.019836,,37.5,0.023553,6.881676745,-0.19417,,,37.99884,203.03,212.5118774,188.85
38.005087,1.4984,2.323602302,0.01894,,38,0.0238,7.00405375,-0.19407,,,38.500789,203.82,212.5118774,188.83
38.50515198,2.0808,2.323602302,0.01893,,38.5,0.024104,7.127523026,-0.19374,,,38.999753,204.11,212.5118774,188.83
39.00521696,2.2438,2.323602302,0.018936,,39,0.024368,7.251961764,-0.19457,,,39.499708,204.35,212.5118774,189
39.50528195,2.0814,2.323602302,0.019784,,39.5,0.024526,7.377377646,-0.19457,,,39.999666,204.46,212.5118774,189.11
40.00534693,1.8894,2.323602302,0.019605,,40,0.024747,7.50377227,-0.19449,,,40.499603,204.8,212.5118774,189.34
40.50541191,1.4124,2.323602302,0.019551,,40.5,0.024977,7.631145057,-0.19424,,,40.999567,205.57,212.5118774,189.94
41.00547689,1.3552,2.323602302,0.019787,,41,0.025221,7.759506143,-0.1944,,,41.499523,206.35,212.5118774,190.7
41.50554187,1.3232,2.323602302,0.02178,,41.5,0.025451,7.888839822,-0.19379,,,41.999488,207.01,212.5118774,191.37
42.00560685,1.3161,2.323602302,0.015587,,42,0.0258,8.019153184,-0.19384,,,42.500447,207.65,212.5118774,192.05
42.50567184,1.3255,2.323602302,-0.19639,,42.5,0.025959,8.150437854,-0.19381,,,42.999418,208.26,212.5118774,192.72
43.00573682,1.3317,2.323602302,-0.19598,,43,0.025962,8.282727418,-0.19435,,,43.499349,208.8,212.5118774,193.28
43.5058018,1.3482,2.323602302,-0.19598,,43.5,0.026041,8.415977002,-0.19459,,,43.999344,209.28,212.5118774,193.82
44.00586678,1.3721,2.323602302,-0.19711,,44,0.026112,8.550212478,-0.19456,,,44.500291,209.4,212.5118774,194.02
44.50593176,1.4532,2.323602302,-0.28927,,44.5,0.026274,8.685425389,-0.1943,,,44.99925,209.47,212.5118774,194.08
45.00599675,1.8426,2.323602302,-0.18016,,45,0.02645,8.821615254,-0.1945,,,45.499208,209.49,212.5118774,194.14
45.50606173,2.0114,2.323602302,-0.18016,,45.5,0.026668,8.958789968,-0.19409,,,45.99914,209.49,212.5118774,194.12
46.00612671,2.1101,2.323602302,-0.19275,,46,0.026941,9.096940832,-0.19383,,,46.500134,209.49,212.5118774,194.14
46.50619169,2.1135,2.323602302,-0.19205,,46.5,0.027174,9.236067365,-0.19435,,,46.999085,209.53,212.5118774,194.16
47.00625667,1.9861,2.323602302,-0.19963,,47,0.027351,9.37618632,-0.19445,,,47.500042,209.56,212.5118774,194.2
47.50632165,1.4013,2.323602302,-0.1995,,47.5,0.0276,9.517280302,-0.19439,,,47.999,209.56,212.5118774,194.21
48.00638664,1.359,2.323602302,-0.1995,,48,0.027944,9.659359834,-0.19466,,,48.498962,209.54,212.5118774,194.19
48.50645162,1.3561,2.323602302,-0.1991,,48.5,0.028104,9.802411345,-0.19471,,,48.999931,209.54,212.5118774,194.19
49.0065166,1.3322,2.323602302,-0.19869,,49,0.028372,9.946445536,-0.19939,,,49.498856,209.52,212.5118774,194.19
49.50658158,1.3273,2.323602302,-0.19958,,49.5,0.028605,10.09146217,-0.19934,,,49.998846,209.52,212.5118774,194.19
50.00664656,1.333,2.323602302,-0.19904,,50,0.028824,10.237461,-0.19916,,,50.498768,209.53,212.5118774,194.19
50.50671155,1.3438,2.323602302,-0.19531,,50.5,0.02904,10.38444865,-0.19474,,,50.998763,209.53,212.5118774,194.21
51.00677653,1.3656,2.323602302,-0.19787,,51,0.029304,10.53250733,-0.19467,,,51.498689,209.53,212.5118774,194.22
51.50684151,1.4236,2.323602302,-0.19787,,51.5,0.029582,10.68155084,-0.19508,,,51.999655,209.53,212.5118774,194.22
52.00690649,1.9384,2.323602302,0.91889,,52,0.029844,10.83156948,-0.19957,,,52.498584,209.53,212.5118774,194.21
52.50697147,1.9485,2.323602302,-0.18194,,52.5,0.030213,10.98258382,-0.19941,,,52.998585,209.51,212.5118774,194.2
53.00703645,2.0532,2.323602302,-0.18273,,53,0.030551,11.13457064,-0.1991,,,53.498545,209.51,212.5118774,194.2
53.50710144,2.1128,2.323602302,-0.19109,,53.5,0.030977,11.28753147,-0.19875,,,53.99846,209.52,212.5118774,194.21
54.00716642,2.0222,2.323602302,-0.19431,,54,0.031267,11.44146583,-0.1986,,,54.498466,209.54,212.5118774,194.22
54.5072314,1.4362,2.323602302,-0.19766,,54.5,0.031525,11.59639293,-0.19891,,,54.998429,209.54,212.5118774,194.22
55.00729638,1.4362,2.323602302,-0.19949,,55,0.031758,11.75229291,-0.19903,,,55.49837,209.55,212.5118774,194.23
55.50736136,1.3542,2.323602302,-0.19879,,55.5,0.031979,11.90917531,-0.19914,,,55.99835,209.55,212.5118774,194.22
56.00742635,1.354,2.323602302,-0.19911,,56,0.032175,12.06703988,-0.19898,,,56.499297,209.53,212.5118774,194.2
56.50749133,1.3481,2.323602302,-0.19911,,56.5,0.032401,12.22587622,-0.19866,,,56.99959933,209.51,212.5118774,194.19
57.00755631,1.3328,2.323602302,-0.19895,,57,0.032578,12.38570616,-0.19428,,,57.50006283,209.5,212.5118774,194.2
57.50762129,1.3311,2.323602302,-0.19841,,57.5,0.032603,12.54651571,-0.19436,,,58.00052633,209.52,212.5118774,194.2
58.00768627,1.3379,2.323602302,-0.19973,,58,0.032756,12.70829605,-0.19465,,,58.50098983,209.53,212.5118774,194.21
58.50775125,1.3584,2.323602302,-0.19646,,58.5,0.032931,12.8710572,-0.19492,,,59.00145333,209.53,212.5118774,194.21
59.00781624,1.381,2.323602302,-0.19651,,59,0.033077,13.03479891,-0.20008,,,59.50191683,209.54,212.5118774,194.21
59.50788122,1.3893,2.323602302,-0.19687,,59.5,0.033296,13.19953161,-0.1951,,,60.00238033,209.53,212.5118774,194.2
60.0079462,1.3977,2.323602302,-0.19745,,60,0.033661,13.36523381,-0.19502,,,60.50284383,209.51,212.5118774,194.19
60.50801118,1.4113,2.323602302,-0.1983,,60.5,0.033797,13.53191586,-0.19477,,,61.00330733,209.49,212.5118774,194.17
61.00807616,1.4748,2.323602302,0.02472,,61,0.034074,13.69958841,-0.19481,,,61.50377083,209.5,212.5118774,194.19
61.50814115,1.8445,2.323602302,0.023504,,61.5,0.034186,13.86824215,-0.19505,,,62.00423433,209.52,212.5118774,194.2
62.00820613,2.0392,2.323602302,0.023374,,62,0.034402,14.03787348,-0.19938,,,62.50469783,209.53,212.5118774,194.2
62.50827111,2.1323,2.323602302,0.023216,,62.5,0.03466,14.20848385,-0.19899,,,63.00516133,209.55,212.5118774,194.21
63.00833609,2.113,2.323602302,0.004712,,63,0.03466,14.38007863,-0.19859,,,63.50562483,209.55,212.5118774,194.19
63.50840107,1.8604,2.323602302,0.006053,,63.5,0.034916,14.55274733,-0.1932,,,64.00608833,209.52,212.5118774,194.18
64.00846605,1.3537,2.323602302,0.005965,,64,0.035174,14.72639689,-0.1929,,,64.50655183,209.51,212.5118774,194.16
64.50853104,1.3547,2.323602302,0.006502,,64.5,0.035438,14.90101559,-0.1929,,,65.00701533,209.51,212.5118774,194.17
65.00859602,1.3304,2.323602302,0.007353,,65,0.035988,15.07662608,-0.19286,,,65.50747883,209.53,212.5118774,194.18
65.508661,1.3161,2.323602302,0.004124,,65.5,0.036177,15.25321669,-0.19278,,,66.00794233,209.55,212.5118774,194.19
66.00872598,1.3186,2.323602302,-0.19948,,66,0.036765,15.43080038,-0.19264,,,66.50840583,209.56,212.5118774,194.19
66.50879096,1.3364,2.323602302,-0.19868,,66.5,0.037168,15.60935061,-0.19252,,,67.00886933,209.57,212.5118774,194.19
67.00885595,1.3662,2.323602302,-0.19549,,67,0.037559,15.78888026,-0.19177,,,67.50933283,209.57,212.5118774,194.17
67.50892093,1.4422,2.323602302,-0.34717,,67.5,0.037906,15.96938909,-0.19157,,,68.00979633,209.55,212.5118774,194.15
68.00898591,1.9076,2.323602302,-0.18188,,68,0.038283,16.15087685,-0.19168,,,68.51025983,209.54,212.5118774,194.16
68.50905089,1.9685,2.323602302,-0.18174,,68.5,0.038641,16.33335542,-0.1921,,,69.01072333,209.55,212.5118774,194.16
69.00911587,2.0716,2.323602302,-0.18587,,69,0.038981,16.51680041,-0.19239,,,69.51118683,209.57,212.5118774,194.17
69.50918085,2.0553,2.323602302,-0.1847,,69.5,0.039353,16.70123589,-0.19191,,,70.01165033,209.57,212.5118774,194.17
70.00924584,1.9306,2.323602302,-0.1847,,70,0.039682,16.8866495,-0.1916,,,70.51211383,209.58,212.5118774,194.18
70.50931082,1.4277,2.323602302,-0.19289,,70.5,0.039975,17.07305473,-0.19556,,,71.01257733,209.58,212.5118774,194.16
71.0093758,1.3718,2.323602302,-0.19905,,71,0.039794,17.26042394,-0.19119,,,71.51304083,209.55,212.5118774,194.15
71.50944078,1.3346,2.323602302,-0.19632,,71.5,0.039891,17.44878317,-0.19537,,,72.01350433,209.53,212.5118774,194.13
72.00950576,1.3245,2.323602302,-0.19681,,72,0.040172,17.63811972,-0.19541,,,72.51396783,209.53,212.5118774,194.14
72.50957075,1.3333,2.323602302,-0.19733,,72.5,0.040594,17.82843337,-0.19486,,,73.01443133,209.54,212.5118774,194.15
73.00963573,1.3378,2.323602302,-0.19653,,73,0.040945,18.0197367,-0.19436,,,73.51489483,209.46,210.1552393,194.14
73.50970071,1.3437,2.323602302,-0.19653,,73.5,0.041406,18.2120168,-0.19441,,,74.01535833,209.16,207.680431,193.86
74.00976569,1.3627,2.323602302,-0.19762,,74,0.041648,18.40527343,-0.19421,,,74.51582183,208.7,205.2056911,193.57
74.50983067,1.4081,2.323602302,-0.2035,,74.5,0.041874,18.59950634,-0.19462,,,75.01628533,207.66,202.7308828,192.79
75.00989565,1.4714,2.323602302,0.02312,,75,0.042231,18.79474274,-0.19427,,,75.51674883,205.99,200.2561428,191.46
75.50996064,1.9516,2.323602302,0.023456,,75.5,0.042732,0.520663457,-0.19486,,,76.01721233,203.7,197.7813345,189.57
76.01002562,2.166,2.323602302,0.023346,,76,0.042732,0.534752873,-0.19523,,,76.51767583,200.63,195.3065946,187.03
76.5100906,2.1915,2.323602302,0.023436,,76.5,-1.9909,0.549708309,-0.19507,,,77.01813933,196.57,192.8317863,180.54
77.01015558,2.0293,2.323602302,0.023539,,77,0,0.565165766,-0.19525,,,77.51860283,191.16,190.3570463,175.4
77.51022056,1.4253,2.323602302,0.023363,,77.5,0,0.579145546,-0.19486,,,78.01906633,184.46,187.882238,169.2
78.01028555,1.3664,2.323602302,0.022802,,78,0,0.595784425,-0.19545,,,78.51952983,176.65,185.4074297,162.12
78.51035053,1.3626,2.323602302,0.023388,,78.5,0,0.611064913,-0.19523,,,79.01999333,167.8,182.9326898,154.17
79.01041551,1.345,2.323602302,0.024335,,79,0,0.626724919,-0.19549,,,79.52045683,157.71,180.4578815,144.93
79.51048049,1.332,2.323602302,0.015647,,79.5,0,0.643317389,-0.19547,,,80.02092033,74.114,177.9831415,65.845
80.01054547,1.3375,2.323602302,-0.19727,,80,0,0.658318512,-0.19569,,,80.52138383,59.612,175.5083332,52.87
80.51061045,1.3375,2.323602302,-0.19603,,80.5,0,0.675813023,-0.19565,,,81.02184733,53.069,173.0335933,46.671
81.01067544,1.3417,2.323602302,-0.1974,,81,0,0.692266397,-0.19559,,,81.52231083,45.478,170.558785,46.671
81.51074042,1.3587,2.323602302,-0.20331,,81.5,0,0.708651737,-0.19156,,,82.02277433,45.478,168.084045,18.447
82.0108054,1.389,2.323602302,-0.20331,,82,0,0.726371316,-0.19192,,,82.52323783,10.065,165.6092367,6.3508
82.51087038,1.4616,2.323602302,-0.18853,,82.5,0,0.742592625,-0.19222,,,83.02370133,8.0006,163.1344968,5.2872
83.01093536,1.8667,2.323602302,0.019668,,83,0,0.760749752,-0.19204,,,83.52416483,8.0006,163.1344968,3.9456
83.51100035,2.0795,2.323602302,0.020176,,83.5,0,0.778362386,-0.19218,,,84.02462833,3.9256,163.1344968,3.0061
84.01106533,2.163,2.323602302,0.000813,,84,0,0.795488927,-0.19186,,,84.52509183,3.4037,163.1344968,2.4421
84.51113031,2.1034,2.323602302,0.000977,,84.5,0,0.814329546,-0.19202,,,85.02555533,3.394,163.1344968,2.0664
85.01119529,1.9589,2.323602302,0.000983,,85,0,0.83175623,-0.19246,,,85.52601883,3.396,163.1344968,1.7994
85.51126027,1.3675,2.323602302,0.001585,,85.5,0,0.850601696,-0.19207,,,86.02648233,3.3951,163.1344968,1.5981
86.01132525,1.3529,2.323602302,0.001236,,86,0,0.869356166,-0.19188,,,86.52694583,3.3957,163.1344968,1.4429
86.51139024,1.354,2.323602302,0.002214,,86.5,0,0.887236662,-0.19202,,,87.02740933,3.3957,163.1344968,1.3175
87.01145522,1.3352,2.323602302,0.003359,,87,0,0.907199989,-0.19184,,,87.52787283,3.395,163.1344968,0.70193
87.5115202,1.3273,2.323602302,-0.001069,,87.5,0,0.925802476,-0.1913,,,88.02833633,3.3955,163.1344968,0.2997
88.01158518,1.3333,2.323602302,-0.19871,,88,0,0.945356817,-0.19159,,,88.52879983,3.3955,163.1344968,0.19377
88.51165016,1.35,2.323602302,-0.20005,,88.5,0,0.965257246,-0.19567,,,89.02926333,3.3955,163.1344968,0.19389
89.01171515,1.3754,2.323602302,-0.1997,,89,0,0.983902045,-0.19567,,,89.52972683,3.3953,163.1344968,0.19545
89.51178013,1.4563,2.323602302,1.6205,,89.5,0,1.004970644,-0.19569,,,90.03019033,3.3949,163.1344968,0.19584
90.01184511,1.8415,2.323602302,-0.18142,,90,0,1.024742152,-0.19548,,,90.53065383,3.3943,163.1344968,0.19746
90.51191009,2.0104,2.323602302,-0.18284,,90.5,0,1.045021595,-0.19502,,,91.03111733,3.3935,163.1344968,0.19608
91.01197507,2.1105,2.323602302,-0.18226,,91,0,1.066054656,-0.19474,,,91.53158083,3.392,163.1344968,0.19737
91.51204005,2.1176,2.323602302,-0.18477,,91.5,0,1.085623218,-0.19471,,,92.03204433,3.3908,163.1344968,0.19737
92.01210504,1.9998,2.323602302,-0.18408,,92,0,1.107648798,-0.19484,,,92.53250783,3.3897,163.1344968,0.19785
92.51217002,1.3982,2.323602302,-0.18588,,92.5,0.013636,1.128578247,-0.1901,,,93.03297133,3.3881,163.1344968,0.1969
93.012235,1.3516,2.323602302,-0.18517,,93,0.013917,1.149595639,-0.19082,,,93.53343483,3.3868,163.1344968,0.19663
93.51229998,1.3528,2.323602302,-0.18517,,93.5,0.014117,1.171755688,-0.19535,,,94.03389833,3.3855,163.1344968,0.1971
94.01236496,1.3409,2.323602302,-0.18492,,94,0.014304,1.192512723,-0.19555,,,94.53436183,3.3843,163.1344968,0.19581
94.51242995,1.3272,2.323602302,-0.18597,,94.5,0.014527,1.215235079,-0.19147,,,95.03482533,3.3834,163.1344968,0.1956
95.01249493,1.3221,2.323602302,-0.19843,,95,0.014691,1.237313563,-0.19204,,,95.53528883,3.3823,163.1344968,0.19558
95.51255991,1.3325,2.323602302,-0.19942,,95.5,0.014822,1.259079955,-0.19681,,,96.03575233,3.3822,163.1344968,0.1969
96.01262489,1.3572,2.323602302,-0.1816,,96,0.015024,1.282361708,-0.19702,,,96.53621583,3.3819,163.1344968,0.19542
96.51268987,1.4112,2.323602302,0.02984,,96.5,0.015816,1.30429513,-0.1928,,,97.03667933,3.3818,163.1344968,0.19673
97.01275485,1.4728,2.323602302,0.029369,,97,0.015984,1.327729557,-0.19685,,,97.53714283,3.3821,163.1344968,0.19791
97.51281984,1.9305,2.323602302,0.029662,,97.5,0.01615,1.350950005,-0.19717,,,98.03760633,3.382,163.1344968,0.19814
98.01288482,2.1898,2.323602302,-0.20004,,98,0.016298,1.373474276,-0.19686,,,98.53806983,3.3822,163.1344968,0.19848
98.5129498,2.043,2.323602302,-0.19854,,98.5,0.016491,1.397874204,-0.19313,,,99.03853333,3.3822,163.1344968,0.19823
99.01301478,1.8958,2.323602302,-0.1955,,99,0.016666,1.420972817,-0.19328,,,99.53899683,3.3826,163.1344968,0.19942
99.51307976,1.7959,2.323602302,-0.19918,,99.5,0.016951,1.445132804,-0.19305,,,100.0394603,3.3832,163.1344968,0.19963
100.0131447,1.7216,2.323602302,-0.19561,,100,0.017307,1.469488987,-0.19317,,,100.5399238,3.3833,163.1344968,0.19976
100.5132097,1.6594,2.323602302,-0.19664,,100.5,0.017629,1.492778591,-0.19374,,,101.0403873,3.3843,163.1344968,0.19976
101.0132747,1.6168,2.323602302,-0.19643,,101,0.017967,1.518293363,-0.19416,,,101.5408508,3.3843,163.1344968,0.19997
101.5133397,1.5883,2.323602302,-0.19674,,101.5,0.018126,1.542548514,-0.19336,,,102.0413143,3.385,163.1344968,0.20064
102.0134047,1.5657,2.323602302,-0.19603,,102,0.018327,1.567445108,-0.1941,,,102.5417778,3.3853,163.1344968,0.20014
102.5134697,1.5559,2.323602302,-0.19669,,102.5,0.018535,1.592931625,-0.19404,,,103.0422413,3.3849,163.1344968,0.19914
103.0135346,1.4343,2.323602302,-0.19976,,103,0.018832,1.617028781,-0.1935,,,103.5427048,3.3851,163.1344968,0.19826
103.5135996,1.4636,2.323602302,-0.19976,,103.5,0.019122,1.643619801,-0.19341,,,104.0431683,3.3848,163.1344968,0.198
104.0136646,1.8661,2.323602302,0.9212,,104,0.01943,1.669024436,-0.19311,,,104.5436318,3.3845,163.1344968,0.19698
104.5137296,2.0763,2.323602302,-0.18327,,104.5,0.019588,1.694667047,-0.19346,,,105.0440953,3.3833,163.1344968,0.1963
105.0137946,2.1585,2.323602302,-0.18382,,105,0.019726,1.721279507,-0.19751,,,105.5445588,3.3838,163.1344968,0.19683
