Month,Sum of Sun Hrs FT,Sum of Sun Hrs HSAT,,Months.Eff.F,Average of Eff_DC,Average of Eff_AC,,Months.Eff.HSAT,Average of Eff_DC,Average of Eff_AC
Jan,13.2287,10.30243333,,Jan,0.187101357,0.175405256,,Jan,0.178708254,0.171632586
Feb,35.1556603,28.99409667,,Feb,0.162836914,0.157985081,,Feb,0.165175771,0.162043149
Mar,114.6448355,114.577231,,Mar,0.156378207,0.153068653,,Mar,0.157850814,0.155466245
Apr,173.7293167,201.4355167,,Apr,0.181025609,0.177350142,,Apr,0.183499851,0.180442566
May,187.0383913,230.9293313,,May,0.17303384,0.168633911,,May,0.180442444,0.176934956
Jun,197.161877,245.5138691,,Jun,0.161707191,0.156665259,,Jun,0.175760213,0.171937073
