ID,Serial,DateTime,UserName,Irradiance,TestTemp,ModTemp,AmbientTemp,PiraTemp,LightSourceTemp,TestLightPower,CalibFactor,RTCName,RTCDesc,IsSTC,RTCIrrad,RTCTemp
1601,FTNK-APV-0000406_STC_1600,5/8/20 12:10 PM,admin,1020.693909,23.43000031,23.43000031,23.38999939,23.95999908,22,75,0.993102908,STC,Standard Test Condition,1,1000,25
1602,FTNK-APV-0000406_800_1601,5/8/20 12:12 PM,admin,811.0235596,23.52000046,23.52000046,23.38999939,23.93000031,23,58,0.993886471,25°C,Corrects only the temperature to 25°C,0,811.0235596,25
1603,FTNK-APV-0000406_600_1602,5/8/20 12:13 PM,admin,611.5515137,23.57999992,23.57999992,23.39999962,24.03000069,22,43,0.996030033,25°C,Corrects only the temperature to 25°C,0,611.5515137,25
1604,FTNK-APV-0000406_400_1603,5/8/20 12:14 PM,admin,398.038208,23.62000084,23.62000084,23.39999962,24.01000023,23,28,1.004200935,25°C,Corrects only the temperature to 25°C,0,398.038208,25
1605,FTNK-APV-0000406_200_1604,5/8/20 12:15 PM,admin,204.7604218,23.62000084,23.62000084,23.38999939,23.89999962,23,15,1.032735229,25°C,Corrects only the temperature to 25°C,0,204.7604218,25
